Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.260s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	1.50	0.00	0.92	0.00	0.00	0.71	0.00	2.00	1.48	1.22	0.00	0.00	0.00	0.00
6.00	2.00	1.72	2.00	0.00	0.00	0.38	0.80	2.00	1.99	2.00	0.00	0.00	0.00	0.00
7.00	1.94	1.59	1.25	0.65	0.04	0.28	0.37	2.00	1.65	0.98	0.00	0.00	0.13	0.18
8.00	1.95	1.95	2.05	1.80	0.61	0.44	0.00	1.99	2.17	1.41	0.00	0.00	0.00	0.28
9.00	2.00	1.99	0.84	0.45	0.20	0.31	0.00	2.00	2.00	1.83	0.00	0.00	0.31	0.00
10.00	1.87	1.79	1.33	0.33	0.04	0.05	0.00	2.00	1.61	1.77	0.00	0.00	0.00	0.00
11.00	1.60	1.83	1.42	0.89	0.00	0.31	0.00	2.00	1.72	1.78	0.00	0.00	0.00	0.00
12.00	1.99	1.99	1.92	0.00	0.00	0.21	0.32	2.00	1.98	1.99	0.00	0.00	0.44	0.00
13.00	2.00	1.77	1.93	0.92	0.57	0.09	0.06	2.00	1.99	1.68	0.00	0.00	0.22	0.00
14.00	1.98	1.98	1.65	0.42	0.02	0.13	0.00	1.99	2.00	1.98	0.00	0.00	0.33	0.00
15.00	2.01	2.01	2.12	0.97	1.22	0.31	0.00	2.00	1.95	1.88	0.00	0.00	0.06	0.00
16.00	2.00	1.99	1.61	1.30	0.19	0.31	0.15	2.00	2.00	1.79	0.00	0.00	0.16	0.00
17.00	1.98	2.00	1.60	0.64	0.09	0.26	0.00	2.00	1.98	1.87	0.00	0.00	0.59	0.00
18.00	2.01	2.01	1.72	1.46	0.59	0.00	0.07	2.00	2.00	2.12	0.00	0.00	0.32	0.00
19.00	2.00	1.72	1.38	0.98	0.25	0.28	0.00	2.00	1.79	1.40	0.00	0.00	0.53	0.00
20.00	1.99	2.04	1.85	0.24	0.00	0.00	0.00	1.99	1.99	1.91	0.00	0.00	0.00	0.00
21.00	1.99	1.78	1.45	0.82	0.82	0.00	0.00	2.00	1.95	1.61	0.00	0.00	0.34	0.00
22.00	2.00	1.92	1.87	1.58	0.48	0.21	0.00	2.00	1.98	1.31	0.00	0.00	0.31	0.00
23.00	1.95	1.99	1.74	0.34	1.38	1.06	0.00	2.00	1.99	1.98	0.00	0.00	0.00	0.00
24.00	2.03	2.00	1.81	1.01	0.86	0.09	0.21	2.00	2.00	1.10	0.00	0.00	0.65	0.02
25.00	1.97	2.00	1.80	1.12	0.47	0.00	0.00	2.00	1.92	1.61	0.00	0.00	0.00	0.00
26.00	1.98	1.99	1.91	1.77	0.31	0.02	0.00	1.99	1.99	1.83	0.00	0.00	0.27	0.00
27.00	2.00	1.95	1.65	1.05	0.27	0.19	0.00	2.00	2.01	1.55	0.00	0.00	0.62	0.00
