Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 21 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.35	1.98	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00
3.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	1.20	2.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	1.04	2.00	0.41	0.02	0.00	0.00	0.00	0.00	1.10	0.15	0.00	0.00
5.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.78	0.59	2.00	1.47	0.93	0.00	0.00	0.00	0.00	0.68	0.24	0.00	0.00
6.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.20	1.18	2.00	0.94	0.68	0.00	0.00	0.00	0.00	2.10	0.79	0.00	0.07
7.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	1.14	2.00	0.74	0.27	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.01
8.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.81	1.99	0.31	0.09	0.00	0.00	0.00	0.00	2.06	0.59	0.00	0.51
9.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	1.24	0.42	2.00	0.61	0.28	0.00	0.00	0.00	0.00	1.31	0.84	0.00	0.00
10.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.75	1.31	2.00	0.98	0.95	0.00	0.00	0.00	0.00	0.87	0.59	0.00	1.17
11.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.52	0.71	2.00	0.52	0.45	0.00	0.00	0.00	0.00	1.02	1.17	0.00	0.05
12.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.74	0.66	2.00	1.13	1.21	0.00	0.00	0.00	0.00	0.88	1.22	0.00	0.45
13.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	1.07	0.42	2.00	0.68	0.93	0.00	0.00	0.00	0.00	0.40	0.25	0.00	0.40
14.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.67	1.21	1.99	0.48	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.07
15.00	0.00	0.00	0.00	1.19	0.00	0.00	0.05	0.00	0.91	0.60	2.00	1.52	0.61	0.00	0.00	0.00	0.00	0.67	1.20	0.00	0.09
16.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00	0.00	2.27	2.00	1.66	1.41	0.00	0.00	0.00	0.00	2.26	0.87	0.00	0.00
17.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	1.93	2.00	1.15	1.25	0.00	0.00	0.00	0.00	1.71	0.00	0.00	0.64
18.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.00	0.45	1.06	2.00	0.92	0.21	0.00	0.00	0.01	0.00	0.85	0.92	0.00	0.15
19.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	1.58	1.59	2.00	0.84	0.47	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.31
20.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.79	1.05	1.99	0.34	0.08	0.00	0.00	0.00	0.00	0.86	1.02	0.00	0.14
21.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.27	1.21	2.00	0.54	0.19	0.00	0.00	0.00	0.00	1.28	0.60	0.00	0.00
