Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.425s)
CreateVariables () DONE !!!
Creating 28 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27
2.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.86	0.00	0.00	0.00	0.00	0.00
3.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.14	0.00	0.00	0.00	0.00	0.00	1.93	1.60	0.00	0.00	0.00	0.00	0.00
4.00	1.78	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	1.84	1.57	0.00	0.00	0.00	0.00	0.00
5.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.68	0.00	0.00	0.00	0.00	0.00	0.91	1.39	0.00	0.00	0.00	0.00	0.00
6.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	0.53	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.30	1.80	0.00	0.00	0.00	0.00	0.00
7.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.05	2.00	1.44	0.00	0.00	0.00	0.00	0.00	1.79	1.98	0.00	0.00	0.00	0.00	0.00
8.00	1.65	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.67	0.00	0.00	0.00	0.00	0.00	1.85	1.71	0.00	0.00	0.00	0.00	0.00
9.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	1.65	0.55	0.00	0.00	0.00	0.00	0.37
10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.01	2.00	1.28	0.00	0.00	0.00	0.00	0.05
11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.24	0.00	0.00	0.00	0.04	0.25
12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.50	0.00	0.00	0.00	0.00	0.00	2.00	1.73	0.00	0.00	0.00	0.00	0.00
13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.72	0.00	0.00	0.00	0.00	0.00	1.98	1.90	0.00	0.00	0.00	0.00	0.00
14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.01	0.00	0.00	1.99	1.57	0.00	0.00	0.00	0.00	0.00	2.00	1.83	0.00	0.00	0.00	0.00	0.25
15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.07	0.00	0.00	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	0.00
16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.01	0.04
17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	1.60	1.83	0.00	0.00	0.00	0.00	0.00
18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.01	2.00	1.44	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.37
19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.47	0.00	0.00	0.00	0.00	0.00	2.00	1.72	0.00	0.00	0.00	0.00	0.00
20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	1.99	2.04	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.18
21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.83	0.00	0.00	0.00	0.00	0.00	1.95	1.80	0.00	0.00	0.00	0.00	0.02
22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.33	0.00	0.00	0.00	0.00	0.00	2.05	1.87	0.00	0.00	0.00	0.00	0.02
23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.31	0.00	0.00	0.00	0.00	0.00	1.99	1.91	0.00	0.00	0.00	0.00	0.00
24.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.74	0.00	0.00	0.00	0.00	0.00	2.00	2.03	0.00	0.00	0.00	0.01	0.06
25.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.12	2.00	1.93	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00
26.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.39	1.99	1.71	0.00	0.00	0.00	0.00	0.41	1.64	0.54	0.00	0.00	0.00	0.01	0.00
27.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	1.67	2.13	0.00	0.00	0.00	0.00	0.00
28.00	0.73	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.14	2.00	1.90	0.00	0.00	0.00	0.00	0.13	1.87	1.07	0.00	0.00	0.00	0.00	0.09
29.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.50	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	0.00
30.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.28	2.00	1.78	0.00	0.00	0.00	0.00	0.27	1.95	1.66	0.00	0.00	0.00	0.00	0.00
31.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.16	0.00	0.00	0.00	0.00	0.00	1.60	1.67	0.00	0.00	0.00	0.00	0.15
32.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.00	0.00	0.00	0.34	1.99	0.08	0.00	0.00	0.00	0.00	0.00	1.87	1.35	0.00	0.00	0.00	0.00	0.01
33.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.07	2.00	4.05	0.00	0.00	0.00	0.00	0.06	1.63	1.38	0.00	0.00	0.00	0.00	0.05
34.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.51	0.00	0.00	0.00	0.00	0.00	0.19	0.93	0.00	0.00	0.00	0.00	0.00
35.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.14	0.00	0.00	0.00	0.00	0.00	1.08	1.00	0.00	0.00	0.00	0.00	0.00
36.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.11	2.00	1.77	0.00	0.00	0.00	0.00	0.12	2.04	1.98	0.00	0.00	0.00	0.00	0.06
37.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00	0.04	2.00	1.46	0.00	0.00	0.00	0.00	0.04	1.85	1.68	0.00	0.00	0.00	0.00	0.00
38.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.72	0.00	0.00	0.00	0.00	0.00	1.64	1.61	0.00	0.00	0.00	0.00	0.00
