Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.364s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.71	1.77	1.18	0.52	0.00	0.00	0.00	0.00	1.99	1.47	0.00	0.00	0.00	0.00	0.00	0.00
3.00	1.07	1.86	1.32	1.93	0.53	0.02	0.00	0.00	2.00	1.97	1.17	0.00	0.00	0.00	0.00	0.00
4.00	1.97	1.48	1.77	1.48	0.39	0.73	0.00	0.00	2.00	1.93	1.74	0.00	0.00	0.00	0.00	0.00
5.00	1.94	1.86	1.97	1.64	0.91	0.31	0.00	0.00	2.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00
6.00	2.00	2.00	1.98	0.53	0.41	0.00	0.00	0.00	2.00	1.98	2.00	0.00	0.00	0.00	0.00	0.00
7.00	1.99	1.78	1.67	0.00	0.00	0.31	0.00	0.00	2.00	2.00	1.46	0.00	0.00	0.00	0.00	0.00
8.00	2.00	2.00	1.91	0.51	0.61	0.09	0.00	0.00	1.99	1.99	0.24	0.00	0.00	0.00	0.00	0.00
9.00	2.00	2.00	2.10	2.01	0.00	1.94	0.00	0.00	2.00	2.00	2.85	0.00	0.00	0.00	0.00	0.00
10.00	2.00	2.00	1.99	1.92	0.00	2.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
11.00	1.97	1.97	1.85	1.71	0.00	1.66	0.00	0.00	2.00	1.95	1.93	0.00	0.00	0.00	0.00	0.00
12.00	1.79	0.80	0.34	0.80	0.00	0.39	0.00	0.00	2.00	1.38	1.45	0.00	0.00	0.00	0.00	0.00
13.00	2.01	2.00	1.72	0.01	0.00	0.00	0.00	0.00	2.00	1.94	2.10	0.00	0.00	0.00	0.00	0.00
14.00	1.99	1.83	1.20	0.00	0.61	0.15	0.00	0.00	1.99	1.91	1.41	0.00	0.00	0.00	0.00	0.00
15.00	1.99	1.99	1.25	0.00	0.31	0.00	0.00	0.00	2.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00
16.00	2.01	1.97	0.04	0.00	0.00	0.02	0.00	0.00	2.00	2.00	2.19	0.00	0.00	0.00	0.00	0.00
17.00	2.00	2.05	1.22	0.32	0.71	0.73	0.00	0.00	2.00	1.93	0.74	0.00	0.00	0.00	0.00	0.00
18.00	1.99	2.00	1.88	0.00	0.00	1.93	0.00	0.00	2.00	2.00	2.46	0.00	0.00	0.00	0.00	0.00
19.00	2.00	1.98	1.81	0.08	0.00	1.67	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
20.00	1.99	1.68	1.80	1.15	0.00	0.04	0.00	0.00	1.99	1.86	1.06	0.00	0.00	0.00	0.00	0.00
21.00	1.00	0.91	0.84	0.59	0.00	0.01	0.00	0.00	2.00	0.87	1.44	0.00	0.00	0.00	0.00	0.00
22.00	2.00	1.93	1.83	0.60	0.41	0.00	0.00	0.00	2.00	1.99	1.92	0.00	0.00	0.00	0.00	0.00
23.00	1.99	2.00	1.83	1.41	0.97	0.02	0.00	0.01	2.00	2.00	1.28	0.00	0.00	0.00	0.00	0.00
24.00	1.97	1.85	1.38	0.82	0.00	0.11	0.00	0.00	2.00	2.00	2.10	0.00	0.00	0.00	0.00	0.00
25.00	1.44	1.59	1.78	1.04	0.00	0.21	0.00	0.00	2.00	1.93	1.94	0.00	0.00	0.00	0.00	0.00
26.00	0.74	1.42	1.57	0.08	0.00	0.00	0.00	0.00	1.99	1.66	0.00	0.00	0.00	0.00	0.00	0.00
27.00	2.37	2.32	1.07	0.26	0.00	0.31	0.00	0.00	2.00	1.81	1.11	0.00	0.00	0.00	0.00	0.00
28.00	2.00	2.00	1.60	0.14	0.21	0.00	0.00	0.00	2.00	2.00	0.58	0.00	0.00	0.00	0.00	0.00
29.00	2.00	2.00	1.99	0.00	1.80	0.37	0.00	0.00	2.00	2.00	1.22	0.00	0.00	0.00	0.34	0.37
30.00	2.00	2.00	1.73	0.53	1.44	0.00	0.00	0.00	2.00	1.83	0.39	0.00	0.00	0.00	0.00	0.00
31.00	1.99	1.90	1.97	1.22	0.00	0.05	0.00	0.00	2.00	1.99	0.72	0.00	0.00	0.00	0.00	0.00
32.00	1.91	1.84	1.44	0.60	0.31	0.00	0.00	0.00	1.99	2.10	0.98	0.00	0.00	0.00	0.00	0.00
33.00	2.08	2.00	1.72	0.51	0.00	0.16	0.00	0.01	2.00	1.94	1.00	0.00	0.00	0.00	0.05	0.07
34.00	2.00	1.95	1.80	0.02	1.44	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	0.00	0.00
35.00	2.01	2.01	1.75	1.37	0.00	0.00	0.00	0.00	2.00	2.03	2.16	0.00	0.00	0.00	0.00	0.00
36.00	1.98	1.99	1.72	0.53	0.25	0.12	0.00	0.00	2.00	1.88	0.74	0.00	0.00	0.00	0.11	0.11
37.00	1.85	2.00	1.81	0.28	1.58	0.27	0.00	0.00	2.00	1.99	1.93	0.00	0.00	0.00	0.26	0.27
38.00	1.98	2.00	2.00	1.54	1.24	0.19	0.00	0.00	1.99	1.95	1.37	0.00	0.00	0.00	0.20	0.22
39.00	2.00	1.84	2.00	0.97	0.31	0.00	0.00	0.00	2.00	1.90	0.48	0.00	0.00	0.00	0.00	0.00
40.00	2.00	2.00	1.60	1.02	0.34	0.00	0.00	0.00	2.00	1.99	0.92	0.00	0.00	0.00	0.00	0.00
41.00	2.00	1.91	1.83	1.12	0.31	0.00	0.00	0.00	2.00	1.98	1.86	0.00	0.00	0.00	0.00	0.00
42.00	1.86	1.90	1.57	0.32	0.00	0.22	0.00	0.00	2.00	1.77	1.66	0.00	0.00	0.00	0.18	0.18
43.00	1.99	1.98	1.71	1.26	0.00	0.00	0.00	0.00	2.00	1.99	1.84	0.00	0.00	0.00	0.00	0.00
44.00	1.97	1.77	2.05	0.00	1.53	0.00	0.00	0.00	1.99	1.85	0.58	0.00	0.00	0.00	0.00	0.00
45.00	1.86	2.03	1.87	0.99	0.00	0.00	0.00	0.00	2.00	1.86	0.31	0.00	0.00	0.00	0.00	0.00
46.00	2.00	1.94	1.65	0.00	0.00	0.09	0.00	0.00	2.00	2.00	2.34	0.00	0.00	0.00	0.11	0.11
