Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.378s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	1.77	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	1.99	0.00	0.00	0.61	0.00	0.02	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	1.94	1.27	0.00	0.91	0.00	0.00	0.00	0.00	0.00	2.00	1.73	0.00	1.51	0.00	0.00	0.00	0.00	0.00
5.00	1.98	1.86	0.00	0.69	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	1.22	0.00	0.00	0.00	0.00	0.00
6.00	1.84	1.84	0.00	0.64	0.00	0.00	0.00	0.00	0.00	2.00	1.81	0.00	1.27	0.34	0.00	0.00	0.00	0.00
7.00	2.00	1.93	0.00	1.91	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.64	1.67	0.00	0.06	0.07	0.08
8.00	2.00	2.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	1.32	1.32	0.00	0.00	0.00	0.00
9.00	1.99	2.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.51	1.20	0.00	0.00	0.00	0.00
10.00	2.00	1.98	0.00	0.61	0.00	0.00	0.00	0.00	0.00	2.00	1.95	0.00	0.05	0.00	0.00	0.09	0.11	0.11
11.00	2.00	2.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	1.91	1.15	0.00	0.00	0.00	0.00
12.00	2.00	2.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.00	1.59	1.55	0.00	0.00	0.00	0.00
13.00	1.97	1.99	0.00	1.80	0.00	0.00	0.00	0.00	0.00	2.00	1.93	0.00	1.93	1.79	0.00	0.09	0.09	0.11
14.00	2.00	1.99	0.00	0.94	0.00	0.00	0.00	0.00	0.00	1.99	1.99	0.00	1.10	0.58	0.00	0.11	0.11	0.09
15.00	1.88	2.01	0.00	1.80	0.00	0.00	0.00	0.00	0.00	2.00	2.01	0.00	1.78	1.68	0.00	0.00	0.00	0.00
16.00	0.88	1.83	0.00	0.81	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.40	0.21	0.00	0.00	0.00	0.00
17.00	2.71	1.99	0.00	1.63	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.65	0.25	0.00	0.11	0.11	0.09
18.00	1.98	1.87	0.00	0.28	0.00	0.01	0.00	0.00	0.00	2.00	1.73	0.00	0.22	1.13	0.00	0.44	0.47	0.00
19.00	2.00	2.01	0.00	0.46	0.00	0.00	0.00	0.00	0.00	2.00	2.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00
21.00	1.91	1.80	0.00	0.45	0.00	0.00	0.00	0.00	0.00	2.00	1.80	0.00	0.38	0.39	0.00	0.00	0.00	0.00
22.00	1.54	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.88	0.00	0.01	0.01	0.00	0.00	0.00	0.00
23.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.25	0.06	0.00	0.00	0.00	0.00
25.00	2.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.13	0.14	0.20
26.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.07	1.01	0.00	0.00	0.00	0.00
28.00	1.94	1.99	0.00	0.29	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
29.00	2.00	1.90	0.00	0.31	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00
30.00	1.99	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.51	0.16	0.00	0.00	0.00	0.00
31.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.98	0.00	0.09	0.21	0.00	0.00	0.00	0.00
32.00	1.99	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.87	0.00	0.09	1.10	0.00	0.00	0.00	0.00
33.00	1.99	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.60	0.42	0.00	0.00	0.00	0.00
34.00	2.01	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	1.04	0.00	0.00	0.00	0.00	0.00
35.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	2.00	2.00	0.00	2.14	0.00	0.00	0.00	0.00	0.00	2.00	2.01	0.00	0.00	0.39	0.00	0.31	0.00	0.00
37.00	2.00	2.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	1.05	0.92	0.00	0.00	0.00	0.00
38.00	1.99	2.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	0.60	0.45	0.00	0.00	0.00	0.00
39.00	2.00	1.98	0.00	0.37	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.30	0.49	0.00	0.00	0.00	0.00
40.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00
41.00	1.99	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	1.57	0.33	0.00	0.00	0.00	0.00
42.00	2.01	2.03	0.00	0.31	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	1.17	0.32	0.00	0.00	0.00	0.00
43.00	1.99	1.64	0.00	0.31	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	1.80	0.00	0.00	0.00	0.00	0.00
44.00	2.00	2.01	0.00	0.08	0.00	0.00	0.00	0.00	0.00	1.99	2.00	0.00	1.46	1.07	0.00	0.14	0.11	0.09
45.00	1.95	1.74	0.00	1.59	0.00	0.02	0.00	0.00	0.00	2.00	1.99	0.00	1.72	1.11	0.00	0.06	0.02	0.02
46.00	2.00	2.03	0.00	0.33	0.00	0.00	0.00	0.00	0.00	2.00	2.01	0.00	0.47	0.16	0.00	0.00	0.01	0.01
47.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.79	0.00	0.80	0.32	0.00	0.21	0.20	0.20
48.00	2.00	2.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.77	0.52	0.00	0.00	0.00	0.00
49.00	1.99	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00
50.00	1.95	2.00	0.00	1.91	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.12	0.04	0.00	0.00	0.00	0.00
51.00	2.04	2.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	1.99	1.87	0.00	0.98	0.99	0.00	0.00	0.00	0.00
52.00	1.66	1.98	0.00	0.78	0.00	0.01	0.00	0.00	0.00	2.00	1.64	0.00	0.80	1.37	0.00	0.09	0.09	0.09
53.00	2.00	2.01	0.00	2.13	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.80	1.79	0.00	0.00	0.00	0.00
54.00	1.99	2.00	0.00	1.78	0.00	0.02	0.00	0.00	0.00	2.00	2.01	0.00	1.80	1.01	0.00	0.32	0.31	0.32
55.00	2.00	1.66	0.00	1.32	0.00	0.02	0.00	0.00	0.00	2.00	1.98	0.00	1.14	0.22	0.00	0.46	0.00	0.00
56.00	1.70	1.90	0.00	0.15	0.00	0.00	0.00	0.00	0.00	2.00	1.44	0.00	0.94	0.04	0.00	0.00	0.00	0.00
57.00	1.74	2.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	1.99	2.05	0.00	0.99	0.02	0.00	0.11	0.11	0.09
58.00	2.32	2.00	0.00	2.18	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00
59.00	2.00	1.97	0.00	1.32	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	1.30	0.25	0.00	0.16	0.15	0.15
60.00	2.00	1.94	0.00	0.04	0.00	0.00	0.00	0.00	0.00	2.00	1.97	0.00	0.79	1.04	0.00	0.00	0.00	0.00
61.00	1.98	1.99	0.00	0.01	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.90	0.08	0.00	0.00	0.00	0.00
62.00	2.01	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	1.64	1.68	0.00	0.00	0.00	0.00
63.00	1.98	2.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	1.99	1.86	0.00	1.38	0.67	0.00	0.09	0.11	0.11
64.00	2.00	1.99	0.00	0.00	0.00	0.04	0.00	0.00	0.00	2.00	2.00	0.00	1.57	0.31	0.00	0.14	0.14	0.14
