Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.250s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	1.77	0.00
4.00	0.00	0.00	2.00	0.00
5.00	1.74	1.73	2.00	1.73
6.00	2.00	1.99	2.00	1.97
7.00	1.99	2.00	2.00	1.97
8.00	2.00	2.00	1.99	1.98
9.00	2.00	2.00	2.00	1.99
10.00	2.00	2.00	2.00	1.97
11.00	2.00	1.99	2.00	1.99
12.00	2.00	2.00	2.00	1.98
13.00	1.99	2.00	2.00	1.99
14.00	2.00	2.00	1.99	2.00
15.00	2.00	1.99	2.00	1.97
16.00	2.00	1.99	2.00	2.00
17.00	2.00	2.00	2.00	1.99
18.00	2.00	1.99	2.00	1.98
19.00	2.00	2.00	2.00	1.98
20.00	1.99	2.00	1.99	1.98
21.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00	1.98
23.00	2.00	2.00	2.00	2.00
24.00	2.00	1.99	2.00	1.97
25.00	2.00	2.00	2.00	1.97
26.00	1.99	2.00	1.99	2.00
27.00	2.00	2.00	2.00	2.00
28.00	2.00	2.00	2.00	1.97
29.00	2.00	2.00	2.00	2.00
30.00	2.00	1.99	2.00	1.97
31.00	2.00	2.00	2.00	1.99
32.00	1.99	2.00	1.99	1.99
33.00	2.00	1.99	2.00	1.99
34.00	2.00	2.00	2.00	2.00
35.00	2.00	2.00	2.00	1.99
36.00	2.00	2.00	2.00	1.99
37.00	2.00	1.99	2.00	1.98
38.00	1.99	2.00	1.99	1.98
39.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00	1.99
41.00	2.00	2.00	2.00	1.97
42.00	2.00	2.00	2.00	1.99
43.00	2.00	1.99	2.00	1.98
44.00	1.99	2.00	1.99	1.98
45.00	2.00	2.00	2.00	1.98
46.00	2.00	2.00	2.00	1.99
47.00	2.00	1.99	2.00	2.00
48.00	2.00	2.00	2.00	2.00
49.00	2.00	1.99	2.00	1.95
50.00	1.99	2.00	2.00	1.98
51.00	2.00	1.99	1.99	1.97
52.00	2.00	2.00	2.00	2.00
53.00	2.00	2.00	2.00	2.00
54.00	2.00	2.00	2.00	2.00
55.00	2.00	1.98	2.00	1.98
56.00	1.99	2.00	2.00	1.97
57.00	2.00	2.00	1.99	1.98
58.00	2.00	2.00	2.00	1.98
59.00	2.00	2.00	2.00	1.99
60.00	2.00	2.00	2.00	1.99
61.00	2.00	1.99	2.00	2.00
62.00	2.00	2.00	2.00	1.98
63.00	1.99	1.99	1.99	1.98
64.00	2.00	2.00	2.00	1.99
65.00	2.00	2.00	2.00	1.99
66.00	2.00	2.00	2.00	1.98
67.00	2.00	1.98	2.00	2.00
68.00	2.00	2.00	2.00	1.99
69.00	1.99	1.99	1.99	2.00
70.00	2.00	2.00	2.00	1.97
71.00	2.00	2.00	2.00	1.95
72.00	2.00	2.00	2.00	1.99
73.00	2.00	1.99	2.00	1.98
74.00	2.00	2.00	2.00	1.99
75.00	1.99	2.00	1.99	1.94
76.00	2.00	2.00	2.00	1.98
77.00	2.00	2.00	2.00	1.99
78.00	2.00	2.00	2.00	1.97
79.00	2.00	2.00	2.00	1.97
80.00	2.00	1.99	2.00	1.97
81.00	1.99	2.00	1.99	1.98
82.00	2.00	2.00	2.00	1.99
83.00	2.00	2.00	2.00	2.00
84.00	2.00	2.00	2.00	1.98
85.00	2.00	1.99	2.00	1.99
86.00	2.00	1.99	2.00	1.99
87.00	1.99	2.00	1.99	1.95
88.00	2.00	2.00	2.00	1.99
89.00	2.00	2.00	2.00	2.00
90.00	2.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00	1.97
92.00	2.00	1.99	2.00	1.98
93.00	1.99	2.00	1.99	1.99
94.00	2.00	2.00	2.00	1.97
95.00	2.00	2.00	2.00	2.00
96.00	2.00	2.00	2.00	1.95
97.00	2.00	2.00	2.00	1.99
98.00	2.00	1.99	2.00	1.98
