Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.234s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	1.20	1.21	0.00	1.18	2.00	0.00	0.00	1.21
6.00	2.00	1.99	1.52	1.99	2.00	1.55	0.00	1.99
7.00	1.99	2.00	2.00	2.00	2.00	1.99	1.53	2.00
8.00	2.00	2.00	2.00	2.00	1.99	2.00	1.93	2.00
9.00	1.99	2.00	2.00	1.99	2.00	2.00	1.94	1.99
10.00	2.00	2.00	1.99	2.00	2.00	2.00	2.01	2.01
11.00	2.00	2.00	2.00	2.00	2.00	2.00	1.95	1.99
12.00	2.00	1.99	2.00	2.00	2.00	1.99	1.98	2.00
13.00	1.99	2.00	2.00	2.00	2.00	2.00	1.95	2.00
14.00	2.00	2.00	2.00	2.00	1.99	2.00	1.99	2.00
15.00	2.00	2.00	2.00	2.00	2.00	2.00	1.98	1.98
16.00	1.99	2.00	1.99	2.00	2.00	2.00	1.98	2.00
17.00	1.68	1.14	0.91	0.16	2.00	1.77	0.21	0.18
18.00	0.24	2.27	0.33	0.00	2.00	1.50	0.65	0.12
19.00	2.00	1.47	1.84	0.02	2.00	1.91	1.88	0.48
20.00	1.97	2.18	1.88	0.00	1.99	1.98	1.98	0.00
21.00	2.01	1.61	1.98	0.00	2.00	2.03	2.03	2.08
22.00	2.00	2.00	1.97	1.25	2.00	2.00	2.00	1.99
23.00	2.00	2.00	1.99	1.99	2.00	2.00	1.99	1.98
24.00	2.00	1.99	1.94	2.00	2.00	1.99	2.00	2.00
25.00	2.00	1.99	1.97	2.00	2.00	2.00	2.00	1.99
26.00	1.99	2.00	1.98	1.97	1.99	2.00	1.99	2.00
27.00	2.00	2.00	1.97	2.00	2.00	2.00	1.90	2.00
28.00	2.00	2.00	1.94	2.00	2.00	2.00	1.91	1.99
29.00	2.00	2.00	1.92	1.97	2.00	2.00	1.95	2.00
30.00	2.00	1.99	1.90	2.00	2.00	2.00	1.91	2.00
31.00	1.95	1.94	1.81	1.57	2.00	1.73	1.80	0.81
32.00	2.00	1.98	1.99	2.00	1.99	2.00	2.00	0.00
33.00	2.00	2.00	1.97	2.00	2.00	2.00	2.00	0.00
34.00	2.00	1.98	1.92	2.00	2.00	1.99	1.99	0.00
35.00	1.99	2.00	1.98	1.99	2.00	2.00	2.01	0.00
36.00	2.00	1.95	1.98	2.00	2.00	2.00	1.99	0.00
37.00	2.00	2.00	1.84	1.87	2.00	1.86	1.87	0.00
38.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
39.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
40.00	2.00	1.97	0.00	0.00	2.00	0.00	0.00	0.00
41.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
42.00	1.99	1.99	0.00	0.00	2.00	0.00	0.00	0.00
43.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
44.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
45.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
46.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
47.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
48.00	2.00	1.95	0.00	0.00	2.00	0.00	0.00	0.00
49.00	1.99	1.99	0.00	0.00	2.00	0.00	0.00	0.00
50.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
51.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
