Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.251s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	0.89	0.87	0.98	0.60	0.00	2.00	0.00	0.75	0.00	0.00
6.00	1.99	1.99	1.40	1.44	0.47	2.00	0.00	1.44	0.27	0.45
7.00	1.99	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
8.00	2.00	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
9.00	2.00	2.00	0.46	0.46	0.44	2.00	0.00	0.45	0.44	0.44
10.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
11.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
12.00	2.00	1.99	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
13.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
14.00	1.99	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
15.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
16.00	1.99	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
17.00	2.00	2.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
18.00	2.00	1.99	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
19.00	1.99	2.01	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
20.00	2.00	1.99	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00
21.00	1.99	1.99	1.50	0.46	0.38	2.00	0.00	1.70	1.52	0.35
22.00	1.94	2.01	1.52	1.51	0.20	2.00	0.00	1.70	0.21	0.00
23.00	1.48	1.98	1.35	1.19	0.44	2.00	0.00	1.19	1.20	0.41
24.00	2.01	2.01	2.04	0.57	0.08	2.00	0.00	0.67	0.60	0.00
25.00	2.00	1.98	0.85	0.66	0.00	2.00	0.04	0.85	0.53	0.00
26.00	1.98	1.87	0.95	1.13	0.26	1.99	0.04	1.70	0.00	0.62
27.00	2.00	1.83	1.18	0.95	0.00	2.00	0.00	1.64	0.67	0.92
28.00	2.00	2.00	0.13	0.91	0.00	2.00	0.00	1.83	1.01	0.00
29.00	1.99	1.93	1.42	0.68	0.11	2.00	0.00	1.70	0.54	0.00
30.00	1.99	2.03	2.11	1.50	0.33	2.00	0.00	2.03	1.13	0.31
31.00	2.00	1.86	1.37	0.67	0.09	2.00	0.00	1.41	0.37	0.00
32.00	1.99	2.00	1.75	0.64	0.00	1.99	0.00	0.60	0.46	0.00
33.00	1.99	2.00	2.11	1.01	0.52	2.00	0.00	0.98	0.45	0.48
34.00	2.00	2.00	1.75	1.34	0.00	2.00	0.00	1.28	0.75	0.14
35.00	2.00	2.00	1.33	0.73	0.00	2.00	0.00	1.30	1.57	0.41
36.00	1.99	1.93	0.95	0.44	0.00	2.00	0.00	0.99	0.97	0.13
37.00	2.00	1.97	1.10	0.22	0.00	2.00	0.00	1.06	0.94	0.00
38.00	1.99	2.00	2.19	0.59	0.00	1.99	0.00	1.53	1.41	0.45
39.00	1.97	1.97	1.71	1.53	0.89	2.00	0.00	2.17	1.83	0.53
40.00	2.00	2.00	0.55	0.55	0.58	2.00	0.00	2.00	0.57	0.55
41.00	2.00	1.99	1.86	0.82	0.67	2.00	0.00	1.01	0.98	0.54
42.00	2.00	1.92	1.13	0.77	0.54	2.00	0.00	1.87	0.45	0.08
43.00	1.20	1.95	1.91	0.25	0.14	2.00	0.00	1.75	1.68	0.16
