Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.388s)
CreateVariables () DONE !!!
Creating 20 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	0.00	0.29	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
3.00	0.00	0.45	0.05	0.05	0.00	1.51	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	2.00	0.32	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.22
5.00	0.00	0.65	0.48	0.00	0.00	1.45	0.78	0.00	0.00	0.00	2.00	1.34	0.00	0.00	0.00	0.00	1.07	0.40	0.00	0.21
6.00	0.00	0.00	0.00	0.00	0.00	1.24	0.75	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.15	0.00	1.11	1.47	0.00	0.00
7.00	0.00	0.53	0.74	0.00	0.00	1.48	1.24	0.15	0.00	0.00	2.00	0.12	0.07	0.00	0.21	0.00	1.20	0.64	0.00	0.00
8.00	0.00	1.60	0.86	0.00	0.00	1.21	0.00	0.00	0.00	0.00	1.99	0.74	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00
9.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	2.00	0.06	0.00	0.00	0.00	0.00	1.13	1.46	0.00	0.00
10.00	0.00	0.88	0.08	0.00	0.00	1.26	0.00	0.00	0.00	0.00	2.00	1.42	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
11.00	0.00	0.68	0.00	0.00	0.00	1.53	1.18	0.00	0.00	0.00	2.00	0.09	0.00	0.00	0.00	0.00	1.92	0.67	0.00	0.00
12.00	0.00	0.94	0.28	0.00	0.00	1.41	1.22	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00
13.00	0.00	0.25	0.25	0.00	0.00	1.31	0.98	0.00	0.00	0.00	2.00	1.27	0.00	0.00	0.00	0.00	2.01	1.80	0.00	0.00
14.00	0.00	0.72	0.00	0.00	0.00	1.93	1.08	0.00	0.00	0.00	1.99	0.88	0.00	0.00	0.00	0.00	1.44	0.88	0.00	0.31
15.00	0.00	0.34	0.27	0.00	0.00	1.41	0.00	0.00	0.00	0.00	2.00	0.93	0.00	0.00	0.00	0.00	1.83	0.91	0.00	0.00
16.00	0.00	0.97	0.00	0.00	0.00	1.15	1.12	0.00	0.00	0.00	2.00	0.07	0.00	0.00	0.00	0.00	1.74	1.04	0.00	0.00
17.00	0.00	0.54	0.45	0.00	0.00	1.00	0.99	0.00	0.00	0.00	2.00	0.26	0.00	0.00	0.00	0.00	1.07	0.31	0.00	0.00
18.00	0.00	0.00	0.00	0.00	0.00	1.48	0.58	0.00	0.00	0.00	2.00	1.72	0.00	0.00	0.00	0.00	0.81	0.60	0.00	0.00
19.00	0.00	0.97	0.28	0.00	0.00	1.24	1.00	0.00	0.00	0.00	2.00	1.19	0.00	0.00	0.00	0.00	1.84	1.52	0.00	0.00
20.00	0.00	0.04	0.04	0.04	0.00	1.80	1.79	0.00	0.00	0.00	1.99	0.84	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00
21.00	0.00	0.00	0.00	0.00	0.00	0.52	0.40	0.04	0.00	0.00	2.00	0.00	0.27	0.00	0.00	0.00	1.78	1.59	0.00	0.00
22.00	0.00	1.02	0.00	0.00	0.00	1.57	0.87	0.00	0.00	0.00	2.00	1.25	0.00	0.00	0.00	0.00	0.77	0.75	0.00	0.00
23.00	0.00	0.55	0.14	0.00	0.00	1.34	1.73	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.13	0.81	0.00	0.00
24.00	0.00	0.11	0.00	0.00	0.00	1.97	1.12	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00
25.00	0.00	1.27	0.00	0.00	0.00	1.95	1.27	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.73	0.84	0.00	0.00
26.00	0.00	0.12	0.00	0.00	0.00	1.99	2.06	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	1.79	1.95	0.00	0.00
27.00	0.00	1.57	0.55	0.00	0.00	2.00	1.88	0.00	0.00	0.00	2.00	1.14	0.00	0.00	0.00	0.00	1.93	1.48	0.00	0.00
28.00	0.00	0.04	0.00	0.00	0.00	0.89	1.04	0.00	0.00	0.00	2.00	0.28	0.00	0.00	0.00	0.00	1.78	1.68	0.00	0.00
29.00	0.00	0.07	0.07	0.00	0.00	1.66	1.17	0.00	0.00	0.00	2.00	0.75	0.00	0.00	0.00	0.00	1.86	1.41	0.00	0.00
30.00	0.00	0.47	0.46	0.00	0.00	1.31	2.40	0.00	0.00	0.00	2.00	1.07	0.00	0.00	0.00	0.00	1.31	1.28	0.00	0.00
31.00	0.00	0.00	0.00	0.00	0.00	1.44	0.06	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	2.00	1.66	0.00	0.00
32.00	0.00	0.00	0.00	0.00	0.00	0.98	1.06	0.00	0.00	0.00	1.99	0.93	0.00	0.00	0.00	0.00	1.71	1.59	0.00	0.31
33.00	0.00	0.04	0.00	0.00	0.00	1.19	0.84	0.34	0.00	0.00	2.00	0.81	0.27	0.00	0.54	0.00	1.95	1.59	0.00	0.00
34.00	0.00	0.19	0.26	0.00	0.00	1.86	1.13	0.00	0.00	0.00	2.00	0.12	0.00	0.00	0.00	0.00	1.51	0.98	0.00	0.09
35.00	0.00	0.31	0.31	0.00	0.00	1.91	0.73	0.00	0.00	0.00	2.00	1.22	0.00	0.00	0.00	0.00	1.65	0.07	0.00	0.00
36.00	0.00	0.00	0.00	0.00	0.22	0.93	2.63	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.68	1.41	0.00	0.01
37.00	0.00	1.15	0.00	0.00	0.00	1.87	1.97	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00
38.00	0.00	0.61	0.38	0.00	0.00	1.47	1.38	0.00	0.00	0.00	1.99	1.38	0.00	0.00	0.00	0.00	1.57	0.58	0.00	0.00
39.00	0.00	0.92	0.00	0.00	0.00	1.71	1.08	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	1.95	0.98	0.00	0.00
40.00	0.00	0.92	0.77	0.00	0.00	1.21	1.11	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.64	0.58	0.00	0.00
41.00	0.00	0.14	0.06	0.00	0.00	1.67	1.32	0.00	0.00	0.00	2.00	0.01	0.00	0.00	0.00	0.00	1.58	0.74	0.00	0.00
42.00	0.00	1.52	0.59	0.00	0.06	1.53	1.21	0.00	0.00	0.00	2.00	0.14	0.00	0.00	0.00	0.00	1.07	0.28	0.00	0.00
43.00	0.00	0.91	0.00	0.00	0.00	2.08	0.21	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.26	0.00	1.87	1.79	0.00	0.00
44.00	0.00	0.07	0.06	0.00	0.00	1.99	1.01	0.00	0.00	0.00	1.99	1.88	0.00	0.00	0.00	0.00	1.68	0.38	0.00	0.00
45.00	0.00	0.91	0.95	0.00	0.00	1.94	1.61	0.00	0.00	0.00	2.00	1.08	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00
46.00	0.00	0.00	0.00	0.00	0.00	0.79	1.32	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.01	0.00	1.65	0.31	0.00	0.80
47.00	0.00	0.51	0.00	0.00	0.00	2.28	1.15	0.00	0.00	0.00	2.00	0.85	0.00	0.00	0.00	0.00	1.77	0.42	0.00	0.00
48.00	0.00	0.00	0.00	0.00	0.00	2.00	1.83	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	2.00	2.72	0.00	0.00
49.00	0.00	0.00	0.00	0.00	0.00	1.47	1.48	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.00	0.00	0.89	0.74	0.00	0.00
50.00	0.00	0.00	0.00	0.00	0.00	2.00	0.32	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.53	0.93	0.00	0.00
51.00	0.00	0.74	0.75	0.00	0.00	1.97	1.51	0.00	0.00	0.00	1.99	1.25	0.00	0.00	0.00	0.00	1.12	0.12	0.00	0.00
52.00	0.00	1.78	0.79	0.00	0.00	2.00	1.18	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.21	1.17	0.00	0.00
53.00	0.00	1.28	0.00	0.00	0.00	1.51	1.51	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00
54.00	0.00	1.04	0.00	0.00	0.00	1.88	0.16	0.00	0.00	0.00	2.00	0.94	0.00	0.00	0.00	0.00	1.94	2.26	0.00	0.00
55.00	0.00	0.07	0.00	0.00	0.00	0.46	1.33	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	1.95	0.42	0.00	0.46
56.00	0.00	0.97	1.87	0.00	0.00	2.37	2.06	0.00	0.00	0.00	2.00	0.06	0.00	0.00	0.00	0.00	1.22	1.72	0.00	0.58
57.00	0.00	0.85	0.77	0.04	0.02	0.85	0.98	0.00	0.00	0.00	1.99	0.58	0.00	0.00	0.29	0.00	1.04	0.08	0.00	0.00
58.00	0.00	0.87	0.00	0.00	0.01	0.00	1.71	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.11	0.00	2.28	1.58	0.00	0.00
59.00	0.00	0.66	0.18	0.00	0.26	1.11	1.00	0.00	0.00	0.00	2.00	0.58	0.00	0.00	0.33	0.00	1.63	0.69	0.00	0.00
60.00	0.00	0.00	0.00	0.00	0.71	1.51	0.74	0.00	0.00	0.00	2.00	0.44	0.00	0.00	0.00	0.00	1.46	0.81	0.00	0.55
61.00	0.00	0.05	0.00	0.00	0.72	1.25	0.92	0.00	0.00	0.00	2.00	0.60	0.00	0.00	0.00	0.00	1.78	1.08	0.00	0.00
62.00	0.00	0.44	0.39	0.00	0.42	1.74	0.80	0.00	0.00	0.00	2.00	0.73	0.00	0.00	0.00	0.00	1.61	0.38	0.00	0.16
63.00	0.00	0.00	0.00	0.00	0.00	1.35	1.85	0.00	0.00	0.00	1.99	0.22	0.00	0.00	0.00	0.00	1.58	0.92	0.00	0.00
64.00	0.00	0.00	0.00	0.00	0.00	1.91	1.93	0.00	0.00	0.00	2.00	0.02	0.00	0.00	0.00	0.00	1.92	0.29	0.00	0.00
65.00	0.00	0.15	0.15	0.00	0.00	1.85	1.98	0.00	0.00	0.00	2.00	1.01	0.00	0.00	0.06	0.00	1.93	0.00	0.00	0.62
66.00	0.00	0.00	0.00	0.00	0.19	2.16	1.88	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.31	0.00	1.00	0.94	0.00	0.55
67.00	0.00	0.32	0.25	0.00	0.05	1.73	1.54	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.27	0.00	1.60	0.89	0.00	0.04
68.00	0.00	0.80	0.54	0.00	0.16	1.57	1.92	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.05	0.00	1.51	0.80	0.00	0.31
69.00	0.00	0.00	0.00	0.00	0.26	1.39	0.52	0.00	0.00	0.00	1.99	0.31	0.00	0.00	0.15	0.00	1.51	0.00	0.00	0.15
70.00	0.00	0.84	0.07	0.00	0.00	1.99	1.48	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.00	0.00	1.68	0.00	0.00	0.00
71.00	0.00	0.11	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	2.00	0.92	0.00	0.00	0.12	0.00	2.12	0.00	0.00	0.65
72.00	0.00	1.02	1.32	0.07	0.00	1.99	1.25	0.00	0.00	0.00	2.00	1.52	0.00	0.00	0.15	0.00	1.47	0.39	0.00	0.00
73.00	0.00	1.90	0.31	0.00	0.01	1.97	1.63	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.46	0.00	1.52	0.00	0.00	0.60
74.00	0.00	0.71	0.68	0.00	0.00	2.03	2.08	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.19	0.00	1.66	0.00	0.00	0.07
75.00	0.00	0.00	0.00	0.00	0.00	0.98	0.52	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.52	0.00	1.37	0.00	0.00	0.57
76.00	0.00	0.00	0.00	0.00	0.00	2.16	0.00	0.00	0.00	0.00	2.00	1.74	0.00	0.00	0.27	0.00	1.34	0.00	0.00	0.00
77.00	0.00	0.66	0.62	0.00	0.01	1.99	2.05	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.08	0.00	0.58	0.00	0.00	0.35
78.00	0.00	0.34	0.34	0.00	1.10	1.07	1.92	0.00	0.00	0.00	2.00	0.75	0.00	0.00	1.20	0.00	1.91	0.00	0.00	0.07
79.00	0.00	0.19	0.21	0.00	0.34	1.81	0.73	0.00	0.19	0.00	2.00	0.54	0.00	0.00	0.54	0.00	1.25	0.00	0.00	0.79
80.00	0.00	0.00	0.00	0.00	0.31	1.94	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.47	0.00	0.80	0.00	0.00	0.44
81.00	0.00	0.34	0.00	0.00	0.00	0.68	0.48	0.00	0.00	0.00	1.99	1.42	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00
82.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
83.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	2.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
84.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.28	0.00	2.00	0.00	0.00	0.00	0.69	0.00	2.43	0.00	0.00	1.10
85.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.09	0.00	2.00	0.00	0.00	1.15
86.00	0.00	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.13
87.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.04	0.00	2.00	0.00	0.00	0.88
88.00	0.00	0.00	0.00	0.00	0.00	2.64	2.00	0.00	0.00	0.00	2.00	1.88	0.00	0.00	0.00	0.00	1.02	0.00	0.00	0.00
89.00	0.00	0.00	0.00	0.00	0.00	0.97	2.00	0.00	0.00	0.00	2.00	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	0.00	0.57	1.65	1.95	0.00	0.00	0.00	2.00	0.82	0.00	0.00	0.28	0.00	1.30	0.00	0.00	0.22
91.00	0.00	0.00	0.00	0.00	0.27	2.00	2.05	0.00	0.00	0.00	2.00	0.18	0.00	0.00	0.87	0.00	0.82	0.00	0.00	0.37
92.00	0.00	0.00	0.00	0.00	0.08	1.79	0.84	0.00	0.00	0.00	2.00	0.13	0.00	0.00	0.62	0.00	1.88	0.00	0.00	0.00
93.00	0.00	0.01	0.01	0.00	0.38	0.89	1.83	0.00	0.02	0.00	1.99	0.84	0.00	0.00	0.42	0.00	1.79	1.02	0.00	0.00
94.00	0.00	0.00	0.00	0.00	0.00	1.26	1.99	0.00	0.00	0.00	2.00	0.87	0.00	0.00	0.31	0.00	2.00	0.00	0.00	0.33
95.00	0.00	0.62	0.00	0.00	0.00	1.59	1.37	0.00	0.00	0.00	2.00	0.92	0.00	0.00	0.15	0.00	1.22	0.00	0.00	0.87
96.00	0.00	0.00	0.00	0.00	0.00	1.72	1.70	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.33	0.00	1.22	0.00	0.00	0.20
97.00	0.00	0.24	0.31	0.00	0.38	1.31	1.92	0.00	0.01	0.00	2.00	1.54	0.00	0.00	0.00	0.00	1.72	1.58	0.00	0.12
98.00	0.00	0.00	0.00	0.00	0.05	0.02	2.04	0.00	0.00	0.00	2.00	0.28	0.00	0.00	0.24	0.00	1.44	0.00	0.00	0.41
99.00	0.00	0.69	0.37	0.00	0.25	1.71	1.55	0.00	0.00	0.00	2.00	1.48	0.00	0.00	0.04	0.00	0.93	0.72	0.00	0.21
100.00	0.00	0.00	0.00	0.00	0.37	1.99	2.13	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.49	0.00	1.57	1.35	0.00	0.40
101.00	0.00	0.00	0.00	0.00	0.00	1.99	0.05	0.00	0.00	0.00	2.00	0.84	0.00	0.00	0.25	0.00	1.88	0.00	0.00	0.22
102.00	0.00	0.61	0.61	0.00	0.00	2.01	2.46	0.00	0.00	0.00	2.00	0.28	0.00	0.00	0.11	0.00	1.68	0.31	0.00	0.00
103.00	0.00	0.07	0.07	0.27	0.69	1.80	0.94	0.00	0.00	0.00	2.00	1.70	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00
104.00	0.00	0.00	0.00	0.00	0.00	1.99	1.27	0.00	0.00	0.00	2.00	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
105.00	0.00	0.00	0.00	0.00	0.00	1.95	0.31	0.00	0.00	0.00	2.00	1.87	0.00	0.00	0.02	0.00	0.28	0.00	0.00	0.00
106.00	0.00	0.00	0.00	0.00	0.75	0.53	0.61	0.00	0.01	0.00	1.99	0.52	0.00	0.00	1.11	0.00	2.06	0.00	0.00	0.81
107.00	0.00	0.00	0.00	0.00	0.08	1.95	0.00	0.00	0.00	0.00	2.00	1.54	0.00	0.00	0.44	0.00	1.54	0.00	0.41	0.60
108.00	0.00	0.00	0.00	0.00	0.00	2.05	0.61	0.00	0.00	0.00	2.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
109.00	0.00	0.00	0.00	0.00	0.14	1.30	0.00	0.00	0.00	0.00	2.00	0.42	0.00	0.00	0.11	0.00	1.53	0.00	0.47	0.64
110.00	0.00	0.00	0.00	0.00	0.34	1.20	0.61	0.00	0.00	0.00	2.00	0.05	0.00	0.00	0.71	0.00	0.79	0.00	0.79	0.39
111.00	0.00	0.46	0.00	0.00	0.07	2.27	1.31	0.00	0.00	0.00	2.00	1.41	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00
112.00	0.00	0.00	0.04	0.00	0.13	2.04	1.18	0.00	0.00	0.00	1.99	0.61	0.00	0.00	0.26	0.00	1.73	0.00	0.39	0.05
113.00	0.00	0.00	0.00	0.00	0.12	1.94	1.98	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.13	0.00	0.57	0.00	0.11	0.00
114.00	0.00	0.00	0.00	0.00	1.18	2.00	1.32	0.00	0.00	0.00	2.00	1.35	0.00	0.00	0.37	0.00	2.61	0.00	0.47	0.71
115.00	0.00	0.00	0.00	0.00	0.47	1.77	0.00	0.00	0.00	0.00	2.00	0.31	0.00	0.00	0.02	0.00	0.61	0.00	0.00	0.00
116.00	0.00	0.00	0.00	0.00	0.18	0.13	0.61	0.00	0.00	0.00	2.00	0.48	0.00	0.00	0.18	0.00	0.93	0.00	0.66	0.53
