Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.309s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
5.00	1.04	1.39	1.19	1.07	0.00	0.00	2.00	0.00	1.21	0.00	0.00	0.98
6.00	1.88	1.87	1.75	1.33	0.00	0.00	2.00	1.66	1.68	1.28	0.00	1.64
7.00	1.98	1.86	1.14	0.81	0.39	0.00	2.00	1.90	1.61	0.87	0.68	0.60
8.00	2.00	1.99	1.79	0.37	0.28	0.00	1.99	1.50	1.11	0.87	0.25	0.13
9.00	0.61	1.78	1.66	0.51	0.07	0.00	2.00	1.84	0.87	0.18	0.08	0.02
10.00	1.93	2.04	1.72	0.42	0.80	0.00	2.00	1.92	1.38	1.58	0.24	0.00
11.00	1.35	1.31	1.17	0.00	0.82	0.00	2.00	1.35	0.97	1.17	0.00	0.00
12.00	2.00	2.05	2.06	0.64	0.00	0.00	2.00	2.00	1.85	1.73	0.16	0.19
13.00	2.00	1.85	1.97	0.61	0.07	0.00	2.00	2.00	1.93	1.50	0.04	0.06
14.00	1.99	1.99	1.87	0.44	0.31	0.00	1.99	1.97	1.87	1.17	0.31	0.21
15.00	2.00	1.91	0.60	1.10	0.38	0.00	2.00	2.03	1.53	0.69	0.72	0.00
16.00	1.98	1.87	0.27	0.55	0.00	0.00	2.00	1.97	1.40	0.93	0.26	0.00
17.00	1.84	1.47	1.22	1.05	0.00	0.00	2.00	1.53	0.84	0.71	0.39	0.00
18.00	1.99	2.26	1.74	0.32	0.00	0.00	2.00	1.95	1.52	0.91	0.00	0.00
19.00	2.00	1.37	1.37	0.94	0.78	0.00	2.00	1.92	1.71	0.07	0.25	0.00
20.00	2.00	2.32	2.12	0.52	0.00	0.00	1.99	1.95	1.47	0.00	0.00	0.00
21.00	1.98	1.73	1.54	0.77	0.00	0.00	2.00	1.95	1.13	0.55	0.00	0.00
22.00	2.03	2.18	1.97	1.10	0.24	0.00	2.00	2.04	0.89	0.71	0.46	0.00
23.00	1.98	1.90	1.67	0.28	0.41	0.00	2.00	1.87	2.11	1.01	0.34	0.00
24.00	1.99	1.94	1.92	0.00	0.02	0.00	2.00	1.99	1.83	0.48	0.00	0.00
25.00	2.01	1.98	1.53	0.00	0.69	0.00	2.00	1.91	1.88	1.67	0.00	0.04
26.00	1.22	1.99	1.92	0.02	0.26	0.00	1.99	2.00	1.85	0.80	0.00	0.80
27.00	2.61	1.98	1.60	0.19	0.00	0.00	2.00	2.00	1.60	0.06	0.61	0.71
28.00	2.00	1.98	1.44	1.28	0.00	0.00	2.00	1.68	1.73	0.00	0.00	1.15
29.00	0.60	0.60	0.60	0.60	0.00	0.00	2.00	0.73	0.73	0.00	0.00	0.60
30.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
31.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
32.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
33.00	1.20	1.20	1.19	0.00	0.92	0.00	2.00	1.20	1.20	1.22	0.00	1.12
34.00	2.00	2.00	2.01	0.00	1.95	0.00	2.00	2.00	2.00	1.94	0.00	1.71
35.00	2.00	1.93	1.70	0.13	0.33	0.00	2.00	1.90	0.42	0.32	0.34	0.09
36.00	1.99	2.05	2.00	0.59	0.00	0.00	2.00	2.01	0.09	2.08	0.15	0.11
37.00	1.99	2.01	1.86	0.55	0.55	0.00	2.00	1.94	0.00	1.46	0.00	0.00
38.00	2.00	1.55	1.92	0.00	0.00	0.00	1.99	2.01	0.00	0.49	0.00	0.00
39.00	1.95	2.23	2.00	0.91	0.00	0.00	2.00	1.97	1.31	0.75	0.00	0.00
40.00	1.99	1.98	1.86	0.51	0.65	0.00	2.00	1.78	1.47	1.37	0.00	0.29
41.00	1.39	2.03	1.66	1.41	0.35	0.00	2.00	2.03	1.64	0.66	0.00	0.00
42.00	1.95	1.74	1.59	0.34	0.21	0.00	2.00	1.87	1.53	0.74	0.00	0.00
43.00	0.97	1.80	1.51	0.00	0.00	0.00	2.00	1.94	1.61	0.12	0.00	0.00
44.00	0.00	1.99	1.59	1.34	0.53	0.00	1.99	1.54	1.54	0.26	0.28	0.00
45.00	0.00	1.92	1.92	0.52	0.00	0.00	2.00	1.73	1.35	1.73	0.81	0.16
46.00	0.00	2.00	1.93	0.33	0.01	0.00	2.00	0.78	0.79	0.47	0.20	0.25
47.00	1.59	1.86	1.87	0.71	0.67	0.00	2.00	1.85	1.84	0.64	0.22	0.24
48.00	1.99	2.01	1.75	0.97	0.75	0.00	2.00	2.01	1.70	0.16	0.31	0.00
49.00	1.99	1.97	0.91	0.00	0.00	0.00	2.00	1.98	0.44	0.29	0.06	0.00
50.00	2.00	1.97	1.95	1.28	1.32	0.00	2.00	2.01	1.84	0.00	0.39	0.00
51.00	2.00	2.06	2.06	0.20	0.22	0.00	1.99	2.00	1.99	0.45	0.20	0.00
52.00	2.00	1.99	1.87	1.13	0.00	0.00	2.00	1.99	1.88	0.81	0.00	1.14
53.00	0.75	0.61	0.61	0.00	0.28	0.00	2.00	0.69	0.20	0.38	0.00	0.00
54.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
55.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
56.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
57.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
58.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
59.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
60.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
61.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
