Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.393s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	1.86	1.90	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
3.00	1.99	2.00	0.52	1.17	0.00	1.14	0.00	2.00	1.45	0.00	1.07	0.00	0.01	0.01
4.00	1.99	1.94	1.79	0.75	0.00	0.08	0.00	2.00	1.42	0.00	1.64	0.00	0.00	0.00
5.00	1.87	1.92	1.37	0.01	0.00	0.01	0.00	2.00	1.72	1.48	0.95	0.00	0.09	0.08
6.00	1.98	1.99	1.75	1.78	0.00	0.15	0.00	2.00	1.86	1.70	1.52	0.00	0.52	0.29
7.00	2.03	1.67	1.86	1.88	0.00	0.02	0.00	2.00	2.13	2.03	1.52	0.00	0.07	0.07
8.00	1.90	2.00	1.67	1.59	0.00	0.12	0.00	1.99	1.92	1.74	1.13	0.00	0.00	0.00
9.00	2.00	1.92	1.77	1.20	0.00	0.07	0.00	2.00	1.91	1.68	1.37	0.00	0.24	0.25
10.00	1.83	1.98	1.84	1.24	0.00	0.00	0.00	2.00	1.98	1.01	0.49	0.00	0.00	0.00
11.00	1.99	1.65	1.60	0.99	0.00	0.00	0.00	2.00	1.98	1.63	1.12	0.00	0.29	0.29
12.00	2.00	1.98	1.15	0.35	0.00	0.00	0.00	2.00	1.65	1.19	0.39	0.00	0.00	0.00
13.00	1.99	1.98	1.46	0.93	0.00	0.00	0.00	2.00	1.79	1.00	0.31	0.00	0.00	0.00
14.00	1.53	1.84	1.85	0.54	0.00	0.07	0.00	1.99	1.91	1.84	0.49	0.00	0.00	0.00
15.00	1.98	1.98	1.80	0.51	0.00	0.58	0.00	2.00	2.00	1.85	1.79	0.00	0.00	0.00
16.00	2.03	2.04	0.98	0.01	0.00	0.00	0.00	2.00	2.01	2.05	0.46	0.00	0.00	0.00
17.00	2.00	1.99	1.63	1.37	0.00	0.00	0.00	2.00	1.94	1.47	1.34	0.00	0.00	0.00
18.00	2.00	1.95	1.98	2.17	0.00	0.09	0.00	2.00	2.04	1.83	1.54	0.00	0.00	0.00
19.00	1.99	1.99	1.87	1.64	0.00	0.00	0.00	2.00	1.92	1.58	1.67	0.00	0.19	0.18
20.00	1.99	1.90	1.68	1.06	0.00	0.57	0.00	1.99	2.00	1.57	0.72	0.00	0.29	0.29
21.00	2.00	1.90	1.99	1.74	0.00	0.67	0.00	2.00	1.95	2.00	1.48	0.00	0.32	0.31
22.00	2.00	1.87	1.80	0.79	0.00	0.01	0.00	2.00	2.00	1.84	1.25	0.00	0.25	0.26
23.00	2.00	2.00	1.74	1.51	0.00	0.00	0.00	2.00	2.00	2.00	0.92	0.00	0.00	0.00
24.00	2.00	2.00	1.71	1.37	0.00	0.00	0.00	2.00	1.99	1.77	1.19	0.00	0.08	0.08
25.00	1.99	1.81	1.72	0.88	0.00	0.00	0.00	2.00	2.00	1.75	0.31	0.00	0.00	0.00
26.00	2.00	1.91	1.88	1.30	0.00	0.00	0.00	1.99	1.98	1.81	0.80	0.00	0.00	0.00
27.00	2.00	1.94	1.99	1.15	0.00	0.22	0.00	2.00	2.03	1.77	1.26	0.00	0.29	0.29
28.00	2.00	2.00	1.74	0.67	0.00	0.01	0.00	2.00	1.88	1.59	0.78	0.00	0.00	0.00
29.00	2.00	2.00	1.84	0.34	0.00	0.00	0.00	2.00	1.93	1.81	1.38	0.00	0.27	0.25
30.00	1.99	1.97	1.79	1.61	0.00	0.20	0.00	2.00	1.92	1.65	0.02	0.00	0.00	0.00
31.00	2.01	1.99	2.00	1.72	0.00	1.15	0.00	2.00	2.06	2.07	1.78	0.00	0.09	0.05
32.00	1.91	1.88	1.72	1.30	0.00	0.64	0.00	1.99	1.55	1.68	1.10	0.00	0.13	0.13
