Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.289s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	1.15	0.98	0.00	0.45	0.19	0.00	0.00	0.00	2.00	1.17	0.64	0.00	0.00	0.00	0.00	0.00
6.00	1.92	1.94	0.57	1.26	0.01	0.00	0.00	0.00	2.00	1.95	1.73	0.00	0.04	0.00	0.00	0.00
7.00	1.98	1.75	1.67	1.10	0.21	0.00	0.00	0.00	2.00	1.86	1.71	0.21	0.61	0.00	0.00	0.18
8.00	2.00	1.97	1.95	0.57	0.07	0.00	0.00	0.00	1.99	2.00	1.68	1.06	0.64	0.00	0.00	0.05
9.00	1.98	1.94	1.54	0.97	0.32	0.00	0.00	0.00	2.00	1.98	1.47	0.27	0.28	0.00	0.00	0.11
10.00	2.03	2.00	0.99	0.64	0.00	0.00	0.00	0.00	2.00	1.99	1.85	0.40	0.08	0.00	0.00	0.09
11.00	1.92	1.81	1.53	0.80	0.06	0.00	0.00	0.00	2.00	1.80	0.58	0.57	0.21	0.00	0.00	0.00
12.00	2.03	1.66	1.71	1.45	0.74	0.00	0.00	0.00	2.00	2.01	1.47	0.97	0.37	0.00	0.00	0.00
13.00	1.98	1.81	2.03	1.93	0.00	0.00	0.00	0.00	2.00	0.15	1.11	0.49	0.31	0.00	0.00	0.00
14.00	2.00	2.00	1.32	1.20	0.00	0.00	0.00	0.00	1.99	0.00	1.90	0.00	0.00	0.00	0.00	0.00
15.00	0.59	0.59	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00
16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	1.78	0.00	1.25	0.00	0.38	0.00	0.00	0.00	2.00	1.77	1.18	0.32	0.31	0.00	0.00	0.00
18.00	2.00	0.00	1.90	0.00	1.22	0.00	0.00	0.00	2.00	2.00	1.78	1.20	0.66	0.00	0.00	0.07
19.00	1.11	0.45	1.04	0.00	0.61	0.00	0.00	0.00	2.00	1.06	1.08	0.72	0.14	0.00	0.00	0.00
20.00	2.01	0.59	0.69	0.00	0.00	0.00	0.00	0.00	1.99	2.03	0.49	0.11	0.54	0.00	0.00	0.00
21.00	1.98	2.33	2.14	0.00	1.81	0.00	0.00	0.00	2.00	2.00	0.88	1.75	0.34	0.00	0.00	0.00
22.00	2.00	2.00	1.81	0.00	0.89	0.00	0.00	0.00	2.00	2.00	0.07	1.48	0.62	0.00	0.00	0.05
23.00	2.00	1.86	1.60	0.00	0.00	0.00	0.00	0.00	2.00	1.59	1.11	1.00	0.35	0.00	0.00	0.18
24.00	2.00	2.01	1.28	0.00	0.00	0.00	0.00	0.00	2.00	1.98	1.97	0.47	0.00	0.00	0.00	0.00
25.00	1.99	1.99	1.34	0.00	0.02	0.00	0.00	0.00	2.00	1.87	1.71	1.61	0.33	0.00	0.00	0.00
26.00	1.99	1.92	2.03	0.00	0.05	0.00	0.00	0.00	1.99	1.88	1.67	0.81	0.20	0.00	0.00	0.00
27.00	2.00	1.92	1.61	1.41	0.42	0.00	0.00	0.00	2.00	1.93	1.58	0.41	0.00	0.00	0.00	0.00
28.00	1.55	1.77	1.11	0.91	0.28	0.00	0.00	0.00	2.00	1.81	1.81	0.04	0.00	0.00	0.00	0.00
29.00	2.00	1.91	1.64	1.04	0.00	0.00	0.00	0.00	2.00	2.00	1.85	0.47	0.92	0.00	0.00	0.14
30.00	1.99	1.91	1.80	1.71	0.00	0.00	0.00	0.00	2.00	1.94	1.59	0.48	0.18	0.00	0.00	0.00
31.00	1.94	1.95	1.88	1.71	0.31	0.00	0.00	0.00	2.00	1.98	0.92	1.41	0.01	0.00	0.00	0.00
32.00	2.00	1.99	1.71	1.65	0.38	0.00	0.00	0.00	1.99	1.98	1.92	0.55	1.83	0.00	0.00	0.00
33.00	2.00	1.87	1.84	0.18	0.00	0.00	0.00	0.00	2.00	1.99	1.80	0.64	0.00	0.00	0.00	0.00
34.00	2.00	1.93	1.71	1.24	0.00	0.00	0.00	0.00	2.00	1.91	1.83	1.26	0.00	0.00	0.00	0.00
