Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.404s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.02	0.58	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	2.00	0.00	0.04	1.24	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
5.00	0.00	1.38	0.00	0.09	0.00	0.05	0.00	0.00	0.00	2.00	0.00	1.32	1.60	0.00	0.04	0.00	0.00	0.00
6.00	0.00	2.00	0.00	0.01	0.00	0.02	0.00	0.00	0.00	2.00	1.46	1.98	1.95	0.00	0.02	0.00	0.00	0.00
7.00	0.00	1.98	0.00	0.01	0.00	0.05	0.00	0.00	0.00	2.00	1.90	1.92	0.47	0.00	0.05	0.00	0.00	0.00
8.00	0.00	2.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	1.99	2.00	0.31	2.87	0.00	0.00	0.00	0.00	0.00
9.00	0.00	2.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.55	0.93	0.00	0.06	0.00	0.00	0.00
10.00	0.00	1.58	0.00	0.53	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.12	1.32	0.00	0.00	0.00	0.00	0.00
11.00	0.00	1.94	0.00	0.32	0.00	0.04	0.00	0.00	0.00	2.00	1.94	1.84	0.71	0.00	0.00	0.00	0.00	0.00
12.00	0.00	2.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.20	0.00	0.00	0.00	0.00	0.00
13.00	0.00	2.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	2.00	1.50	1.83	1.45	0.00	0.00	0.00	0.00	0.00
14.00	0.00	1.37	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.99	1.73	1.40	0.02	0.00	0.00	0.00	0.00	0.00
15.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.83	0.61	0.00	0.00	0.00	0.00	0.00
16.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.37	0.00	0.00	0.00	0.00	0.00
17.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	2.05	0.00	0.00	0.00	0.00	0.00
18.00	0.00	1.01	0.00	0.02	0.00	0.01	0.00	0.00	0.00	2.00	2.00	1.07	2.00	0.00	0.02	0.00	0.00	0.00
19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.99	0.00	2.00	0.00	0.00	0.00	0.00	0.00
21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00
23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
