Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.223s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	0.00	0.00	0.00
3.00	0.00	1.99	0.00
4.00	0.00	2.00	0.00
5.00	0.99	2.00	0.81
6.00	2.00	2.00	2.00
7.00	2.00	2.00	2.00
8.00	1.99	1.99	2.00
9.00	2.01	2.00	1.99
10.00	2.00	2.00	2.00
11.00	1.99	2.00	2.00
12.00	2.00	2.00	2.00
13.00	1.99	2.00	2.00
14.00	2.00	1.99	2.00
15.00	2.01	2.00	1.98
16.00	2.00	2.00	2.00
17.00	1.99	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	2.00
20.00	1.99	1.99	2.00
21.00	2.01	2.00	1.99
22.00	1.99	2.00	2.01
23.00	2.00	2.00	1.99
24.00	2.00	2.00	2.00
25.00	1.99	2.00	1.99
26.00	2.00	1.99	2.01
27.00	2.00	2.00	1.99
28.00	1.99	2.00	2.00
29.00	2.00	2.00	2.00
30.00	2.00	2.00	2.00
31.00	2.00	2.00	2.00
32.00	2.00	1.99	1.99
33.00	1.99	2.00	2.01
34.00	2.00	2.00	1.99
35.00	2.00	2.00	2.00
36.00	2.00	2.00	2.00
37.00	2.00	2.00	2.00
38.00	2.00	1.99	2.00
39.00	1.99	2.00	2.00
40.00	2.00	2.00	2.00
41.00	2.00	2.00	1.99
42.00	2.00	2.00	2.00
43.00	2.00	2.00	1.99
44.00	2.00	1.99	2.00
45.00	1.99	2.00	1.98
46.00	1.99	2.00	2.00
47.00	2.00	2.00	2.00
48.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00
50.00	2.00	2.00	2.00
51.00	2.00	1.99	1.99
52.00	1.99	2.00	2.00
53.00	2.00	2.00	2.01
54.00	2.00	2.00	1.99
55.00	2.00	2.00	2.00
56.00	1.99	2.00	2.00
57.00	2.00	1.99	2.00
58.00	2.01	2.00	1.99
59.00	1.99	2.00	2.00
60.00	2.00	2.00	2.00
61.00	2.00	2.00	2.00
62.00	1.99	2.00	1.99
63.00	2.00	1.99	2.01
64.00	2.00	2.00	1.99
65.00	2.00	2.00	2.00
66.00	2.00	2.00	1.99
67.00	2.00	2.00	1.99
68.00	1.99	2.00	1.98
69.00	2.01	1.99	2.03
70.00	1.99	2.00	2.00
71.00	2.00	2.00	1.99
72.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00
74.00	1.99	2.00	2.00
75.00	2.01	1.99	1.99
76.00	1.99	2.00	2.00
77.00	2.00	2.00	1.99
78.00	2.00	2.00	2.00
79.00	1.99	2.00	2.00
80.00	1.99	2.00	2.00
81.00	2.01	1.99	2.00
82.00	1.99	2.00	2.00
83.00	2.00	2.00	1.99
84.00	2.00	2.00	2.00
85.00	2.00	2.00	2.00
86.00	2.00	2.00	2.00
87.00	1.99	1.99	2.00
88.00	2.00	2.00	2.00
89.00	2.00	2.00	1.98
90.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00
92.00	2.00	2.00	2.00
93.00	2.00	1.99	2.00
94.00	2.00	2.00	1.99
95.00	1.99	2.00	2.00
96.00	2.00	2.00	1.99
97.00	2.00	2.00	2.00
98.00	2.00	2.00	2.00
99.00	2.00	2.00	1.99
100.00	2.00	1.99	2.00
101.00	1.99	2.00	2.01
102.00	2.00	2.00	2.00
103.00	2.00	2.00	1.99
104.00	2.00	2.00	2.00
105.00	1.99	2.00	2.00
106.00	2.00	1.99	2.00
107.00	2.00	2.00	1.99
108.00	2.00	2.00	1.99
109.00	2.00	2.00	2.01
110.00	2.00	2.00	2.00
111.00	2.00	2.00	1.99
112.00	1.99	1.99	2.01
113.00	2.00	2.00	2.00
114.00	2.00	2.00	2.00
115.00	2.00	2.00	1.99
116.00	2.00	2.00	2.00
117.00	2.00	2.00	2.00
118.00	2.00	1.99	2.00
119.00	1.99	2.00	1.99
120.00	2.00	2.00	1.99
121.00	2.00	2.00	2.00
122.00	2.00	2.00	2.00
123.00	2.00	2.00	2.00
124.00	2.00	1.99	2.00
125.00	1.99	2.00	2.00
126.00	2.00	2.00	1.99
127.00	2.00	2.00	2.00
128.00	2.00	2.00	2.00
129.00	2.00	2.00	2.00
130.00	1.99	1.99	1.98
131.00	2.01	2.00	2.01
132.00	2.00	2.00	2.00
133.00	1.99	2.00	2.00
134.00	2.00	2.00	2.00
135.00	2.00	2.00	2.00
136.00	2.00	1.99	2.00
137.00	1.99	2.00	2.00
138.00	2.01	2.00	1.99
139.00	1.99	2.00	2.00
140.00	2.00	2.00	2.00
141.00	2.00	2.00	2.00
142.00	2.00	2.00	2.00
143.00	1.99	1.99	2.00
144.00	2.00	2.00	1.99
145.00	2.01	2.00	2.00
146.00	1.99	2.00	2.00
147.00	2.00	2.00	2.00
148.00	1.99	2.00	2.00
149.00	2.00	1.99	1.99
150.00	2.01	2.00	2.00
151.00	1.99	2.00	2.00
152.00	2.00	2.00	2.00
153.00	2.00	2.00	2.00
154.00	1.99	2.00	2.00
155.00	2.01	1.99	1.98
156.00	2.00	2.00	1.99
157.00	1.99	2.00	1.99
158.00	2.00	2.00	2.00
159.00	2.00	2.00	2.00
160.00	2.00	2.00	1.99
161.00	2.00	1.99	2.01
162.00	1.99	2.00	1.99
163.00	2.00	2.00	2.01
164.00	2.00	2.00	1.99
165.00	2.00	2.00	2.00
166.00	2.00	2.00	1.99
167.00	2.00	1.99	2.00
168.00	1.99	2.00	2.00
169.00	2.00	2.00	2.00
170.00	2.00	2.00	1.99
171.00	2.00	2.00	2.00
172.00	1.99	2.00	2.00
173.00	2.01	1.99	2.00
174.00	2.00	2.00	1.99
175.00	1.99	2.00	2.00
176.00	2.00	2.00	2.00
177.00	2.00	2.00	2.00
178.00	2.00	2.00	1.99
179.00	2.00	1.99	2.01
10.2.1.2	2.04	8.04
10.1.1.1	2.04	4976.20
10.1.1.3	2.04	5005.10
