Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.247s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.33	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00
5.00	0.00	0.00	0.73	2.00	1.51	0.00
6.00	0.16	0.81	0.51	2.00	2.05	0.00
7.00	1.28	1.42	0.26	2.00	1.33	0.29
8.00	1.30	1.30	0.31	1.99	1.24	0.32
9.00	1.15	2.24	0.04	2.00	1.33	0.00
10.00	1.85	1.77	1.40	2.00	1.88	0.00
11.00	1.99	1.31	1.31	2.00	2.00	1.30
12.00	2.00	2.58	0.69	2.00	2.01	0.99
13.00	1.99	2.21	1.31	2.00	2.00	0.75
14.00	1.87	1.79	0.94	1.99	1.99	2.10
15.00	2.04	2.19	1.19	2.00	1.99	1.68
16.00	1.99	1.84	1.77	2.00	2.00	0.47
17.00	1.99	1.73	0.87	2.00	1.94	0.95
18.00	1.28	1.07	0.00	2.00	0.72	0.77
19.00	2.18	2.46	0.62	2.00	2.10	2.03
20.00	1.99	1.60	0.42	1.99	1.65	0.71
21.00	2.00	1.73	0.48	2.00	1.78	0.80
22.00	0.86	1.50	0.25	2.00	0.81	0.67
23.00	1.18	1.57	0.31	2.00	1.32	0.20
24.00	2.03	0.37	0.78	2.00	1.97	0.14
25.00	2.01	1.22	0.82	2.00	2.01	0.19
26.00	2.04	1.42	1.02	1.99	2.00	0.05
27.00	1.98	1.31	1.90	2.00	1.98	1.24
28.00	2.03	0.00	2.21	2.00	2.01	0.51
29.00	1.14	0.28	0.66	2.00	1.48	0.44
30.00	1.81	2.10	0.73	2.00	1.98	1.80
31.00	0.44	1.11	0.07	2.00	0.59	0.61
32.00	2.08	1.22	0.39	1.99	1.48	1.06
33.00	1.97	1.59	1.11	2.00	1.84	1.19
34.00	2.04	1.68	1.34	2.00	2.00	1.75
35.00	1.65	0.82	0.87	2.00	1.60	0.62
36.00	1.30	0.15	2.00	2.00	0.93	0.68
37.00	2.01	2.05	0.87	2.00	2.00	1.88
38.00	1.99	2.00	0.00	1.99	2.00	2.00
39.00	2.00	1.15	0.88	2.00	1.74	1.11
40.00	2.00	1.92	1.25	2.00	2.11	1.08
41.00	1.99	2.51	0.85	2.00	2.00	0.57
42.00	1.99	2.11	1.97	2.00	1.99	0.02
43.00	2.03	2.06	1.97	2.00	2.01	1.18
44.00	1.98	1.99	2.41	1.99	1.98	0.00
45.00	1.99	1.95	1.19	2.00	1.88	1.58
46.00	0.72	0.82	0.24	2.00	0.79	0.49
47.00	2.07	1.81	0.81	2.00	1.97	0.12
48.00	1.99	2.30	1.66	2.00	1.99	1.48
49.00	1.86	1.93	1.78	2.00	1.94	1.91
50.00	1.91	1.47	0.82	2.00	2.04	0.87
51.00	1.30	1.07	0.02	1.99	0.58	0.34
52.00	2.32	2.86	0.89	2.00	2.27	1.02
53.00	2.00	2.00	1.73	2.00	2.00	1.99
54.00	2.00	2.00	1.99	2.00	1.99	2.00
55.00	1.28	0.98	0.57	2.00	0.94	0.86
56.00	1.81	2.16	0.48	2.00	2.06	0.88
57.00	2.05	2.18	1.92	1.99	2.01	1.99
58.00	1.98	1.98	1.65	2.00	1.91	1.01
59.00	2.00	1.97	0.55	2.00	1.94	0.59
60.00	1.80	1.58	0.26	2.00	1.42	1.02
61.00	1.80	1.11	1.20	2.00	2.26	1.20
62.00	2.03	2.00	2.98	2.00	1.99	2.03
63.00	2.00	1.99	1.97	1.99	2.00	1.99
64.00	2.00	2.01	2.01	2.00	2.00	2.01
65.00	2.00	2.00	1.99	2.00	2.00	2.00
66.00	1.99	2.00	2.00	2.00	2.00	1.99
67.00	1.86	1.94	1.13	2.00	0.69	0.38
68.00	1.80	1.58	0.32	2.00	2.04	1.04
69.00	2.00	2.38	0.72	1.99	2.00	0.45
70.00	2.00	2.04	2.97	2.00	2.00	0.00
71.00	1.87	1.57	0.45	2.00	1.79	0.61
72.00	1.98	1.42	1.95	2.00	1.98	0.41
73.00	0.91	2.13	0.42	2.00	1.40	1.37
74.00	1.90	1.18	0.69	2.00	1.48	0.98
75.00	0.26	2.68	0.74	1.99	2.00	0.98
76.00	1.26	1.33	0.75	2.00	1.75	1.52
77.00	1.20	1.55	0.66	2.00	2.00	0.49
78.00	1.25	1.30	0.65	2.00	1.98	1.33
79.00	0.99	1.86	0.38	2.00	1.38	0.11
80.00	0.00	1.87	0.35	2.00	1.67	0.00
81.00	0.00	2.04	1.58	1.99	1.95	1.47
82.00	0.00	1.41	1.31	2.00	1.98	0.52
83.00	0.00	2.53	1.85	2.00	2.00	1.24
