Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.341s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
2.00	0.00	0.00	0.00	1.75	1.99	1.05	0.00	1.60	0.00
3.00	1.18	0.00	0.00	2.00	2.00	1.83	0.94	2.00	0.00
4.00	0.65	0.00	0.00	1.61	2.00	1.71	1.95	0.72	0.00
5.00	0.47	1.19	0.00	0.72	2.00	1.53	0.21	0.27	0.00
6.00	2.10	1.53	0.00	1.70	2.00	1.80	1.87	2.57	0.16
7.00	0.92	0.85	0.00	1.02	2.00	1.66	0.33	0.55	1.19
8.00	0.38	1.27	0.45	0.35	1.99	0.81	0.26	1.32	1.01
9.00	1.90	1.38	0.72	0.58	2.00	0.87	0.74	1.13	2.01
10.00	0.52	0.92	0.00	0.44	2.00	1.84	0.32	1.37	2.11
11.00	1.40	1.15	0.12	1.54	2.00	1.71	0.94	0.55	0.67
12.00	1.28	0.44	0.28	0.73	2.00	0.20	0.60	0.11	0.52
13.00	0.87	1.04	0.24	0.49	2.00	1.27	0.00	0.29	1.14
14.00	0.69	1.10	0.89	0.57	1.99	1.15	0.98	1.66	1.38
15.00	2.47	1.44	1.85	1.52	2.00	1.65	1.30	1.66	0.13
16.00	0.82	0.00	0.78	0.85	2.00	0.00	0.34	0.22	0.15
17.00	0.84	1.46	1.86	0.73	2.00	0.91	1.38	1.05	2.04
18.00	1.79	0.41	0.65	0.22	2.00	1.79	0.11	0.19	0.09
19.00	1.67	1.27	1.47	1.87	2.00	1.72	0.71	2.32	1.22
20.00	0.97	0.80	0.65	1.10	1.99	1.04	1.02	0.01	1.64
21.00	0.00	0.84	0.07	0.98	2.00	0.79	0.14	1.81	0.61
22.00	0.73	1.11	1.30	1.31	2.00	1.35	0.21	0.81	1.11
23.00	0.45	0.20	1.63	1.77	2.00	1.46	1.57	1.45	0.49
24.00	1.02	1.37	0.16	1.11	2.00	2.04	0.21	0.73	0.88
25.00	0.55	1.10	1.41	0.86	2.00	0.68	0.58	0.48	0.00
26.00	1.77	1.86	1.60	1.81	1.99	0.95	0.72	2.38	0.00
27.00	1.28	1.63	1.93	0.99	2.00	1.84	1.61	1.33	0.39
28.00	1.51	1.35	0.66	1.33	2.00	0.78	0.54	0.85	1.65
29.00	1.64	1.02	0.34	1.94	2.00	0.38	1.05	0.59	0.48
30.00	1.33	0.61	1.52	1.14	2.00	2.53	2.06	1.57	0.60
31.00	0.32	0.44	1.17	0.73	2.00	1.22	1.42	1.04	2.64
32.00	0.77	1.07	1.07	0.84	1.99	1.84	1.07	2.00	1.90
33.00	1.27	0.73	0.87	0.66	2.00	1.11	0.65	0.93	0.88
34.00	1.18	1.91	1.25	1.91	2.00	1.28	2.08	1.22	0.04
35.00	1.73	1.95	2.00	1.95	2.00	1.71	0.73	1.06	0.47
36.00	1.45	1.37	1.34	1.64	2.00	1.33	1.97	1.51	1.50
37.00	1.01	1.30	0.94	1.42	2.00	0.84	1.86	1.15	1.45
38.00	0.74	1.12	1.37	1.28	1.99	1.71	1.07	2.38	1.61
39.00	0.73	1.20	1.40	1.07	2.00	1.34	0.82	1.47	1.55
40.00	0.69	1.81	1.85	1.17	2.00	1.67	0.91	1.53	1.46
41.00	1.59	1.55	0.69	1.57	2.00	1.18	0.08	1.47	1.73
42.00	0.39	1.73	1.92	1.53	2.00	2.63	1.10	1.67	1.08
43.00	1.39	2.01	1.72	1.99	2.00	2.01	2.05	1.99	0.02
44.00	1.94	1.91	1.91	1.97	1.99	1.91	1.47	1.63	1.58
