Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.224s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
5.00	0.00	0.00	0.00	0.00	1.25	0.00	2.00	1.63	1.25	0.00	1.44	1.54
6.00	0.05	0.64	0.65	0.44	1.53	0.00	2.00	1.48	1.64	0.34	0.69	0.59
7.00	0.00	0.29	0.05	0.00	0.12	0.52	2.00	0.02	0.16	0.26	0.58	0.75
8.00	0.00	0.26	1.10	0.57	0.00	0.79	1.99	0.66	0.00	0.24	0.57	0.06
9.00	0.00	0.34	1.98	0.61	0.00	0.00	2.00	0.92	0.01	0.01	1.78	0.15
10.00	0.00	0.77	0.13	0.27	0.01	0.00	2.00	0.33	0.00	0.00	0.58	0.69
11.00	0.11	0.00	0.58	0.05	0.11	1.57	2.00	0.33	0.00	0.89	0.59	0.60
12.00	0.00	0.24	0.21	1.06	0.04	0.34	2.00	1.53	0.00	0.72	0.08	0.31
13.00	0.00	0.00	0.00	0.44	0.00	0.42	2.00	0.25	0.00	0.25	0.02	0.22
14.00	0.07	0.16	1.41	1.53	0.05	0.37	1.99	0.99	0.02	0.02	0.25	0.00
15.00	0.15	0.33	1.32	1.53	0.13	2.01	2.00	1.30	0.21	0.06	0.97	1.91
16.00	0.04	0.00	0.42	0.09	0.02	0.49	2.00	0.53	0.04	0.00	0.84	0.37
17.00	0.79	0.00	0.82	0.48	0.65	0.99	2.00	0.33	0.46	0.74	0.46	0.58
18.00	0.00	0.00	1.48	0.48	0.33	1.54	2.00	0.71	0.02	1.37	2.06	0.00
19.00	0.46	0.26	0.69	1.84	0.99	0.75	2.00	0.41	0.00	1.34	0.93	0.65
20.00	0.00	1.07	1.61	0.93	0.00	1.87	1.99	0.88	0.16	1.38	1.35	0.72
21.00	0.51	0.87	1.14	1.17	0.11	1.02	2.00	0.81	0.00	0.54	0.74	0.33
22.00	0.00	0.95	0.41	1.19	0.18	1.13	2.00	1.02	0.00	1.01	1.17	0.01
