Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.221s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	1.37	0.00	0.00
4.00	0.00	0.00	2.00	0.00	0.00
5.00	0.37	0.72	2.00	0.88	0.65
6.00	1.27	1.39	2.00	1.22	0.98
7.00	0.81	1.61	2.00	1.46	0.92
8.00	0.95	1.50	1.99	1.50	0.80
9.00	0.77	1.48	2.00	1.60	0.93
10.00	1.07	1.64	2.00	1.55	0.66
11.00	0.78	1.66	2.00	1.67	0.69
12.00	0.00	2.40	2.00	2.63	0.00
13.00	0.72	2.07	2.00	2.17	0.00
14.00	1.51	1.60	1.99	1.99	0.00
15.00	1.04	1.70	2.00	1.68	0.53
16.00	0.77	1.70	2.00	1.26	1.20
17.00	0.71	1.46	2.00	1.67	0.89
18.00	0.97	1.67	2.00	1.13	0.66
19.00	0.72	1.28	2.00	2.13	1.05
20.00	0.00	2.52	1.99	1.63	1.00
21.00	0.00	2.38	2.00	1.85	0.72
22.00	0.00	2.05	2.00	2.74	0.00
23.00	0.82	1.40	2.00	1.55	0.88
24.00	0.92	1.25	2.00	1.45	1.27
25.00	0.80	1.54	2.00	1.74	0.79
26.00	0.68	1.72	1.99	1.65	0.89
27.00	0.82	1.61	2.00	1.54	0.80
28.00	0.91	1.57	2.00	1.44	0.85
29.00	0.71	1.95	2.00	1.77	0.65
30.00	0.00	2.57	2.00	2.41	0.00
31.00	0.79	1.60	2.00	2.30	0.19
32.00	1.20	1.34	1.99	1.12	1.25
33.00	0.97	1.66	2.00	1.54	0.78
34.00	0.91	1.64	2.00	1.57	0.80
35.00	0.86	1.80	2.00	1.48	0.78
36.00	0.92	1.59	2.00	1.55	0.71
37.00	0.78	1.63	2.00	1.85	0.80
38.00	0.00	2.36	1.99	2.44	0.11
39.00	0.38	2.24	2.00	2.18	0.27
40.00	1.27	1.18	2.00	1.13	1.34
41.00	0.81	1.47	2.00	1.73	0.77
42.00	0.93	1.58	2.00	1.51	0.85
43.00	0.86	1.61	2.00	1.50	0.86
44.00	0.95	1.65	1.99	1.72	0.71
45.00	0.34	2.00	2.00	1.61	0.82
46.00	0.22	2.27	2.00	2.39	0.12
47.00	0.34	2.24	2.00	2.24	0.29
48.00	1.28	1.26	2.00	1.17	1.11
49.00	0.93	1.45	2.00	1.63	0.82
50.00	0.73	1.51	2.00	1.73	0.95
51.00	0.89	1.51	1.99	1.47	0.85
52.00	0.88	1.58	2.00	1.67	0.71
53.00	0.87	1.68	2.00	1.60	0.78
54.00	0.13	2.56	2.00	2.25	0.20
55.00	0.73	1.77	2.00	2.30	0.00
56.00	1.21	1.52	2.00	2.11	0.00
57.00	1.06	1.64	1.99	1.42	0.81
58.00	0.84	1.50	2.00	1.39	0.97
59.00	0.86	1.47	2.00	1.51	0.89
60.00	0.82	1.55	2.00	1.74	0.80
61.00	0.80	1.13	2.00	1.71	0.85
