Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.212s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
5.00	0.88	1.10	0.61	0.27	0.00	2.00	0.87	0.67	0.00	0.00
6.00	1.90	1.52	1.54	1.26	0.00	2.00	2.03	1.55	0.00	0.00
7.00	1.86	1.45	0.74	0.71	0.00	2.00	1.72	1.24	1.40	0.00
8.00	2.00	1.70	0.25	0.14	0.00	1.99	1.79	0.58	0.24	0.05
9.00	2.00	2.00	1.58	0.40	0.00	2.00	1.99	1.81	0.20	0.31
10.00	1.58	1.67	0.54	0.44	0.00	2.00	1.55	0.84	0.07	0.13
11.00	1.98	1.79	1.17	0.55	0.00	2.00	2.01	0.35	0.48	0.27
12.00	1.66	1.77	0.21	0.55	0.00	2.00	1.37	1.70	0.31	0.00
13.00	2.00	1.81	0.47	0.20	0.00	2.00	1.98	1.72	0.49	0.00
14.00	1.93	1.93	0.04	0.39	0.00	1.99	1.88	1.73	0.80	0.31
15.00	1.60	0.84	0.32	0.85	0.00	2.00	1.44	0.69	0.31	0.00
16.00	2.00	2.11	2.01	0.42	0.00	2.00	2.00	2.04	0.54	0.00
17.00	1.94	1.91	1.51	0.27	0.01	2.00	1.78	1.42	0.74	0.00
18.00	1.99	1.86	1.24	0.54	0.00	2.00	1.88	1.25	0.79	0.00
