Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.371s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	0.19	0.46	0.00	0.00	0.00	0.00	1.99	0.84	0.00	0.00	0.00	0.00	0.00	0.74	0.00
3.00	0.00	0.00	0.00	0.60	0.46	0.00	0.00	0.00	0.00	2.00	0.51	0.00	0.00	0.00	0.00	0.00	0.54	0.00
4.00	0.00	0.00	0.00	1.18	0.31	0.00	0.00	0.00	0.00	2.00	1.18	0.07	0.00	0.00	0.00	0.00	0.13	0.00
5.00	0.00	0.00	0.00	1.14	0.31	0.00	0.00	0.00	0.00	2.00	0.54	0.02	0.00	0.00	0.00	0.00	0.57	0.35
6.00	0.00	0.00	0.00	0.09	0.85	0.00	0.00	0.00	0.00	2.00	0.79	0.12	0.00	0.00	0.00	0.00	0.19	0.00
7.00	0.00	0.00	0.00	0.01	0.59	0.00	0.00	0.00	0.00	2.00	0.18	0.00	0.00	0.00	0.00	0.00	0.16	0.16
8.00	0.00	0.00	0.00	0.39	0.48	0.00	0.00	0.00	0.00	1.99	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.14
9.00	0.00	0.00	0.00	1.10	0.89	0.00	0.00	0.00	0.00	2.00	0.38	0.00	0.00	0.00	0.00	0.00	0.01	0.15
10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.28	0.07	0.00	0.00	0.00	0.00	0.74	0.00
11.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	2.00	0.86	0.06	0.00	0.00	0.00	0.00	0.25	0.00
12.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	2.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.55
13.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	2.00	0.20	0.19	0.00	0.00	0.00	0.00	0.72	0.25
14.00	0.00	0.00	0.00	1.11	0.01	0.00	0.00	0.00	0.00	1.99	0.97	0.31	0.00	0.00	0.00	0.00	1.02	0.61
15.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.00	0.00	2.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	0.00	0.00	0.00	1.37	0.77	0.00	0.00	0.00	0.00	2.00	1.15	0.33	0.00	0.00	0.00	0.00	0.62	0.06
17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.32
18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	0.00	0.00	0.00	0.88	0.31	0.00	0.00	0.00	0.00	2.00	0.05	0.31	0.00	0.00	0.00	0.00	0.28	0.00
20.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	1.99	0.65	0.00	0.00	0.00	0.00	0.00	0.77	0.33
21.00	0.00	0.00	0.00	0.82	0.21	0.00	0.00	0.00	0.00	2.00	0.95	0.61	0.00	0.00	0.00	0.00	0.85	0.14
22.00	0.00	0.00	0.00	0.37	0.59	0.00	0.00	0.00	0.00	2.00	0.73	0.00	0.00	0.00	0.00	0.00	0.45	0.15
23.00	0.00	0.00	0.00	0.02	1.01	0.00	0.00	0.00	0.00	2.00	0.93	0.15	0.00	0.00	0.00	0.00	0.82	0.00
24.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	2.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	0.00	0.00	0.00	0.33	0.32	0.00	0.00	0.00	0.00	2.00	0.92	0.07	0.00	0.00	0.00	0.00	0.85	0.16
29.00	0.00	0.00	0.00	1.92	1.53	0.00	0.00	0.00	0.00	2.00	1.78	0.00	0.00	0.00	0.00	0.00	0.77	0.00
30.00	0.00	0.00	0.00	1.33	0.84	0.00	0.00	0.00	0.00	2.00	1.01	0.00	0.00	0.00	0.00	0.00	0.79	0.29
31.00	0.00	0.00	0.00	1.33	0.77	0.00	0.00	0.00	0.00	2.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	1.99	0.52	0.00	0.00	0.00	0.00	0.00	0.31	0.00
33.00	0.00	0.00	0.00	0.61	0.66	0.00	0.00	0.00	0.00	2.00	0.95	0.00	0.00	0.00	0.00	0.00	0.52	0.14
34.00	0.00	0.00	0.00	0.41	0.62	0.00	0.00	0.00	0.00	2.00	0.86	0.27	0.00	0.00	0.31	0.00	0.16	0.05
35.00	0.00	0.00	0.00	1.45	0.95	0.00	0.00	0.00	0.00	2.00	1.30	0.00	0.00	0.00	0.00	0.00	0.32	0.32
36.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	2.00	0.07	0.19	0.00	0.00	0.00	0.00	0.29	0.27
37.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	2.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00
