Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.332s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	1.55	0.00	0.47	0.00	0.00
3.00	0.00	1.92	0.82	1.05	0.00	0.00	0.00	2.00	0.00	1.72	0.11	0.26	0.00	0.00
4.00	0.00	1.91	1.04	0.82	0.00	0.00	0.00	2.00	0.00	1.11	0.19	0.00	0.00	0.00
5.00	0.00	1.73	1.20	0.02	0.00	0.00	0.00	2.00	1.41	1.20	0.00	0.13	0.00	0.13
6.00	0.00	2.00	1.72	0.69	0.00	0.00	0.00	2.00	1.59	1.12	0.39	0.00	0.00	0.00
7.00	0.00	1.87	0.65	0.00	0.00	0.00	0.00	2.00	1.95	0.55	0.00	0.00	0.00	0.00
8.00	0.00	2.01	1.72	1.33	0.00	0.00	0.00	1.99	1.97	2.19	1.64	0.00	0.00	0.00
9.00	0.00	2.00	1.50	1.94	0.00	0.00	0.00	2.00	2.04	2.05	0.00	0.00	0.00	0.00
10.00	0.00	1.99	1.99	0.44	0.00	0.00	0.00	2.00	1.99	1.90	0.00	0.13	0.00	0.15
11.00	0.00	1.88	1.67	0.00	0.00	0.00	0.00	2.00	1.94	1.54	0.00	0.00	0.00	0.00
12.00	0.00	1.99	1.95	1.32	0.00	0.00	0.00	2.00	1.73	1.64	0.00	0.00	0.00	0.00
13.00	0.00	1.63	1.80	1.34	0.00	0.00	0.00	2.00	2.05	1.07	0.00	0.08	0.00	0.02
14.00	0.00	1.94	1.38	0.89	0.00	0.00	0.00	1.99	1.84	1.26	0.58	0.00	0.00	0.00
15.00	0.00	2.01	2.04	0.58	0.00	0.00	0.00	2.00	1.98	0.85	0.48	0.12	0.00	0.11
16.00	0.00	1.95	1.90	0.12	0.00	0.00	0.00	2.00	1.92	0.19	0.34	0.00	0.00	0.00
17.00	0.00	1.99	1.71	0.32	0.00	0.00	0.00	2.00	2.00	1.01	0.21	0.01	0.00	0.01
18.00	0.00	2.00	1.90	0.86	0.00	0.00	0.00	2.00	1.95	1.22	1.01	0.01	0.00	0.01
19.00	0.00	1.97	1.44	0.57	0.00	0.00	0.00	2.00	1.97	1.48	0.00	0.07	0.00	0.08
20.00	0.00	1.91	1.80	0.00	0.00	0.00	0.00	1.99	1.86	1.90	0.00	0.00	0.00	0.00
21.00	0.00	2.06	2.05	0.00	0.00	0.00	0.00	2.00	2.05	2.05	0.00	0.00	0.00	0.00
22.00	0.00	1.84	1.22	1.00	0.00	0.00	0.00	2.00	1.79	1.78	1.80	0.00	0.00	0.00
23.00	0.00	2.00	1.24	0.15	0.00	0.00	0.00	2.00	1.88	1.78	1.41	0.00	0.00	0.00
24.00	0.00	1.94	1.59	0.00	0.00	0.00	0.00	2.00	1.98	1.86	1.86	0.00	0.00	0.00
25.00	0.00	1.99	1.99	0.00	0.00	0.00	0.00	2.00	2.01	0.98	0.00	0.00	0.00	0.00
26.00	0.00	1.93	1.73	0.58	0.00	0.00	0.00	1.99	1.93	2.06	0.60	0.45	0.00	0.42
27.00	0.00	2.07	1.20	0.42	0.00	0.00	0.00	2.00	1.74	0.33	0.39	0.01	0.00	0.05
28.00	0.00	1.93	1.54	1.12	0.00	0.00	0.00	2.00	2.20	1.95	1.30	0.28	0.00	0.21
29.00	0.00	1.71	1.59	0.00	0.00	0.00	0.00	2.00	1.92	0.12	0.00	0.00	0.00	0.00
30.00	0.00	1.91	1.90	0.85	0.00	0.00	0.00	2.00	1.99	1.01	0.67	0.57	0.00	0.54
31.00	0.00	2.08	0.95	0.55	0.00	0.00	0.00	2.00	2.01	1.26	0.32	0.20	0.00	0.15
32.00	0.00	2.00	1.51	1.31	0.00	0.00	0.00	1.99	1.99	1.74	0.82	0.08	0.05	0.18
33.00	0.00	1.77	2.18	0.92	0.00	0.00	0.00	2.00	2.00	1.50	0.44	0.12	0.00	0.07
34.00	0.00	1.93	0.99	1.19	0.00	0.00	0.00	2.00	1.99	2.06	0.85	0.00	0.15	0.00
35.00	0.00	2.00	1.35	0.12	0.00	0.00	0.00	2.00	1.92	0.37	0.07	0.00	0.00	0.00
36.00	0.00	2.00	0.32	0.00	0.00	0.00	0.00	2.00	1.94	0.29	0.00	0.00	0.00	0.00
37.00	0.00	2.00	1.37	1.18	0.00	0.00	0.00	2.00	2.00	2.21	0.02	0.00	0.00	0.00
38.00	0.00	1.83	1.38	0.54	0.00	0.00	0.00	1.99	1.97	0.92	0.40	0.40	0.00	0.37
39.00	0.00	2.00	0.95	0.20	0.00	0.00	0.00	2.00	2.01	1.25	0.16	0.00	0.00	0.00
40.00	0.00	1.54	1.41	0.00	0.00	0.00	0.00	2.00	1.45	0.18	0.16	0.08	0.00	0.07
41.00	0.00	2.01	0.95	0.91	0.00	0.00	0.00	2.00	1.99	1.91	1.57	0.57	0.00	0.32
42.00	0.00	2.00	1.84	1.04	0.00	0.00	0.00	2.00	1.98	2.11	1.26	0.15	0.13	0.09
43.00	0.00	1.83	0.74	0.68	0.00	0.00	0.00	2.00	1.87	1.18	0.00	0.00	0.00	0.00
44.00	0.00	1.78	1.24	0.49	0.00	0.00	0.00	1.99	1.74	1.71	0.59	0.00	0.31	0.00
45.00	0.00	2.00	1.48	0.25	0.00	0.00	0.00	2.00	2.00	0.29	0.31	0.00	0.00	0.00
46.00	0.00	1.99	2.71	1.44	0.00	0.00	0.00	2.00	1.97	1.60	0.66	0.02	0.00	0.00
47.00	0.00	1.28	1.25	0.69	0.00	0.00	0.00	2.00	1.53	0.99	0.67	0.00	0.00	0.00
48.00	0.00	1.94	1.81	0.05	0.00	0.00	0.00	2.00	1.99	0.78	0.65	0.00	0.00	0.00
49.00	0.00	1.73	0.42	0.34	0.00	0.00	0.00	2.00	2.00	0.72	0.68	0.35	0.00	0.29
50.00	0.00	2.00	1.45	1.04	0.00	0.00	0.00	2.00	1.99	1.64	0.13	0.14	0.00	0.15
51.00	0.00	1.99	2.04	0.00	0.00	0.00	0.00	1.99	1.99	1.60	0.18	0.00	0.00	0.00
52.00	0.00	1.93	1.14	0.41	0.00	0.00	0.00	2.00	1.93	1.77	0.44	0.25	0.00	0.26
53.00	0.00	1.94	1.32	1.32	0.00	0.00	0.00	2.00	1.98	1.81	0.72	0.49	0.00	0.28
54.00	0.00	1.85	1.95	0.66	0.00	0.00	0.00	2.00	1.83	0.61	0.00	0.09	0.00	0.02
55.00	0.00	2.06	1.40	0.01	0.00	0.00	0.00	2.00	1.94	0.72	0.42	0.21	0.00	0.15
56.00	0.00	2.01	2.03	0.87	0.00	0.00	0.00	2.00	1.97	1.10	0.62	0.16	0.00	0.18
57.00	0.00	1.95	1.97	1.83	0.00	0.00	0.00	1.99	1.99	1.93	1.00	0.31	0.00	0.31
58.00	0.00	1.85	1.50	0.20	0.00	0.00	0.00	2.00	1.63	0.74	0.31	0.21	0.00	0.00
59.00	0.00	1.92	1.45	0.49	0.00	0.00	0.00	2.00	1.54	0.67	0.49	0.00	0.00	0.00
60.00	0.00	2.00	0.73	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
61.00	0.00	1.99	1.74	0.45	0.00	0.00	0.00	2.00	1.98	0.65	0.45	0.05	0.00	0.05
