Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.244s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.81	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00
5.00	0.69	1.02	0.00	2.00	1.04	0.31
6.00	1.64	0.77	0.00	2.00	1.71	0.05
7.00	1.65	0.93	0.00	2.00	1.61	0.13
8.00	1.83	0.91	0.00	1.99	0.18	0.08
9.00	2.81	1.90	0.00	2.00	2.63	1.26
10.00	2.00	2.07	0.00	2.00	2.00	2.25
11.00	2.00	2.00	0.00	2.00	1.99	1.99
12.00	2.00	2.00	0.00	2.00	2.00	2.00
13.00	2.00	2.00	0.00	2.00	2.00	2.00
14.00	1.99	2.00	0.00	1.99	1.99	1.99
15.00	2.00	1.99	0.00	2.00	2.01	2.00
16.00	1.99	2.00	0.00	2.00	2.00	1.99
17.00	1.99	2.00	0.00	2.00	1.99	2.00
18.00	2.00	2.00	0.00	2.00	1.98	2.00
19.00	2.00	2.00	0.00	2.00	2.00	2.00
20.00	1.99	2.00	0.00	1.99	2.00	1.99
21.00	2.00	1.99	0.00	2.00	1.99	1.99
22.00	2.00	2.00	0.00	2.00	2.01	2.01
23.00	1.98	2.00	0.00	2.00	1.99	1.98
24.00	2.01	2.00	0.00	2.00	2.00	2.00
25.00	1.99	2.00	0.00	2.00	2.00	1.98
26.00	1.99	2.00	0.00	1.99	2.00	2.00
27.00	2.00	2.00	0.00	2.00	1.98	1.99
28.00	2.00	1.99	0.00	2.00	2.00	2.00
29.00	1.99	2.00	0.00	2.00	2.00	2.00
30.00	2.00	2.00	0.00	2.00	1.99	2.00
31.00	2.00	2.00	0.00	2.00	2.00	1.99
32.00	1.99	2.00	0.00	1.99	2.00	2.00
33.00	2.00	2.00	0.00	2.00	1.99	1.98
34.00	2.00	1.99	0.00	2.00	2.00	2.01
35.00	1.99	2.00	0.00	2.00	1.99	1.98
36.00	1.99	2.00	0.00	2.00	1.99	2.00
37.00	2.00	2.00	0.00	2.00	2.00	2.00
38.00	1.99	2.00	0.00	1.99	2.00	2.00
39.00	2.00	2.00	0.00	2.00	1.99	1.98
40.00	2.00	1.99	0.00	2.00	2.01	2.01
41.00	2.00	2.00	0.00	2.00	1.99	1.99
42.00	2.00	2.00	0.00	2.00	1.99	2.00
43.00	2.00	2.00	0.00	2.00	1.99	1.98
44.00	1.99	2.00	0.00	1.99	2.00	2.00
45.00	2.00	1.99	0.00	2.00	2.00	2.00
46.00	2.00	2.00	0.00	2.00	1.99	1.99
47.00	2.00	2.00	0.00	2.00	1.99	1.98
48.00	2.00	2.00	0.00	2.00	2.00	2.00
49.00	2.00	2.00	0.00	2.00	2.00	2.00
50.00	1.99	2.00	0.00	2.00	2.00	2.00
51.00	1.99	2.00	0.00	1.99	1.99	1.99
52.00	2.00	1.99	0.00	2.00	2.00	2.00
53.00	2.00	2.00	0.00	2.00	1.99	2.00
54.00	2.00	2.00	0.00	2.00	2.00	2.00
55.00	2.00	2.00	0.00	2.00	2.00	2.00
56.00	2.00	2.00	0.00	2.00	2.00	1.98
57.00	1.99	1.99	0.00	1.99	2.00	1.99
58.00	2.00	2.00	0.00	2.00	2.00	1.99
59.00	2.00	2.00	0.00	2.00	1.99	2.00
60.00	2.00	2.00	0.00	2.00	1.99	2.00
61.00	1.99	2.00	0.00	2.00	2.00	2.00
62.00	2.00	2.00	0.00	2.00	2.00	2.00
63.00	1.99	2.00	0.00	1.99	1.99	1.99
64.00	2.00	1.99	0.00	2.00	2.00	2.01
65.00	1.99	2.00	0.00	2.00	2.00	2.00
66.00	1.99	2.00	0.00	2.00	1.99	1.99
67.00	2.00	2.00	0.00	2.00	2.00	2.00
68.00	2.00	2.00	0.00	2.00	2.00	2.00
69.00	1.99	2.00	0.00	1.99	2.00	1.99
70.00	2.00	1.99	0.00	2.00	1.98	2.01
71.00	2.00	2.00	0.00	2.00	2.00	1.98
72.00	2.00	2.00	0.00	2.00	1.98	2.00
73.00	2.00	2.00	0.00	2.00	2.00	2.00
74.00	2.00	2.00	0.00	2.00	1.99	2.00
75.00	1.99	2.00	0.00	1.99	2.00	1.98
76.00	2.00	1.99	0.00	2.00	2.00	2.00
77.00	2.00	2.00	0.00	2.00	2.00	2.01
78.00	2.00	2.00	0.00	2.00	1.98	1.99
79.00	1.99	2.00	0.00	2.00	2.00	1.99
80.00	2.00	2.00	0.00	2.00	2.00	2.00
81.00	1.99	2.00	0.00	1.99	2.00	1.99
82.00	2.00	2.00	0.00	2.00	1.99	1.99
83.00	1.99	2.00	0.00	2.00	2.00	2.01
84.00	2.00	1.99	0.00	2.00	2.00	1.99
85.00	1.99	2.00	0.00	2.00	1.99	1.98
86.00	2.00	2.00	0.00	2.00	2.00	2.00
87.00	1.99	2.00	0.00	1.99	2.00	2.00
88.00	2.00	1.99	0.00	2.00	1.99	1.99
89.00	2.00	2.00	0.00	2.00	1.99	2.01
90.00	2.00	2.00	0.00	2.00	1.99	1.99
91.00	1.99	2.00	0.00	2.00	2.00	2.00
92.00	2.00	2.00	0.00	2.00	1.99	2.00
93.00	1.99	2.00	0.00	1.99	0.80	2.00
94.00	2.00	2.00	0.00	2.00	0.00	1.99
95.00	2.00	1.99	0.00	2.00	0.00	2.00
96.00	2.00	2.00	0.00	2.00	0.00	2.00
97.00	2.00	1.99	0.00	2.00	0.00	2.01
98.00	2.00	2.01	0.00	2.00	0.00	1.99
99.00	1.99	2.00	0.00	2.00	0.00	2.00
100.00	2.00	2.00	0.00	1.99	0.00	1.99
101.00	1.99	1.99	0.00	2.00	0.00	2.00
102.00	2.00	2.00	0.00	2.00	0.00	2.01
103.00	2.00	2.00	0.00	2.00	0.00	1.98
104.00	2.00	2.00	0.00	2.00	0.00	2.00
105.00	2.00	2.00	0.00	2.00	0.00	2.00
106.00	1.99	1.99	0.00	1.99	0.00	2.00
107.00	2.00	2.00	0.00	2.00	0.00	1.99
108.00	2.00	2.00	0.00	2.00	0.00	1.99
109.00	0.98	0.99	1.46	2.00	1.02	2.00
110.00	0.00	0.00	2.00	2.00	1.99	2.00
111.00	0.00	0.00	2.00	2.00	2.01	2.00
112.00	0.00	0.00	1.99	1.99	1.99	2.00
113.00	0.00	0.00	2.00	2.00	2.00	2.00
114.00	0.00	0.00	2.00	2.00	2.00	1.99
115.00	0.00	0.00	2.00	2.00	2.00	2.00
116.00	0.00	0.00	2.00	2.00	2.00	2.00
117.00	0.00	0.00	1.98	2.00	1.99	2.00
118.00	0.00	0.00	2.00	1.99	2.00	2.00
119.00	0.00	0.00	2.00	2.00	2.00	1.99
120.00	0.00	0.00	2.00	2.00	2.00	2.01
121.00	0.00	0.00	2.00	2.00	2.00	1.99
122.00	0.00	0.00	2.00	2.00	2.00	2.00
123.00	0.00	0.00	2.00	2.00	2.00	2.00
124.00	0.00	0.00	1.99	1.99	1.99	2.00
125.00	0.00	0.00	2.00	2.00	2.00	1.98
126.00	0.00	0.00	2.00	2.00	2.00	2.00
127.00	1.31	1.30	1.98	2.00	2.00	2.00
128.00	2.00	2.00	2.03	2.00	2.00	2.00
129.00	1.99	1.99	2.00	2.00	2.00	1.98
130.00	2.00	2.00	2.00	1.99	1.99	2.00
131.00	1.99	2.00	2.00	2.00	2.00	2.00
132.00	2.00	1.99	1.99	2.00	2.00	1.99
133.00	2.00	2.00	2.00	2.00	1.99	2.00
134.00	2.00	2.00	2.00	2.00	2.00	2.00
135.00	2.00	2.00	2.00	2.00	2.00	0.89
136.00	1.99	2.00	2.00	1.99	2.00	0.00
137.00	2.00	2.00	2.00	2.00	2.00	0.00
138.00	2.00	2.00	1.99	2.00	2.00	0.00
139.00	2.00	1.99	2.00	2.00	1.99	1.42
140.00	2.00	2.00	2.00	2.00	2.00	2.07
141.00	2.00	2.00	2.00	2.00	2.00	2.00
142.00	1.99	2.00	2.00	2.00	2.00	2.00
143.00	2.00	2.00	2.00	1.99	2.00	2.00
144.00	2.00	2.00	2.00	2.00	2.00	2.00
145.00	1.99	0.75	0.52	2.00	0.65	0.44
146.00	1.98	1.50	0.33	2.00	2.41	1.11
147.00	0.45	1.73	0.47	2.00	0.47	0.33
148.00	0.92	1.26	0.15	2.00	1.26	0.00
149.00	0.06	0.46	0.00	1.99	0.05	0.00
150.00	0.19	0.85	0.01	2.00	0.11	0.09
151.00	1.27	1.33	0.11	2.00	2.71	0.42
152.00	2.10	1.54	0.35	2.00	1.98	1.27
153.00	1.98	1.83	0.65	2.00	1.34	1.33
154.00	2.01	1.10	0.20	2.00	1.19	0.26
155.00	1.98	1.52	0.29	1.99	2.10	0.41
156.00	1.34	0.00	0.99	2.00	2.03	1.71
157.00	0.92	0.00	0.59	2.00	1.99	2.05
158.00	2.51	0.00	2.93	2.00	2.00	2.06
159.00	1.99	0.00	1.98	2.00	2.00	1.98
160.00	2.01	0.00	2.01	2.00	2.00	2.01
161.00	1.99	0.00	2.00	1.99	2.00	1.99
162.00	2.00	0.00	1.99	2.00	2.00	1.99
163.00	2.00	1.97	2.01	2.00	2.00	1.98
164.00	1.99	2.00	1.98	2.00	1.99	1.99
165.00	1.97	1.77	1.59	2.00	1.54	1.54
166.00	2.04	0.65	1.21	2.00	2.03	1.85
167.00	1.77	1.65	0.51	1.99	1.51	1.30
168.00	1.99	1.78	1.54	2.00	1.95	0.32
169.00	1.78	1.48	0.99	2.00	1.99	0.26
170.00	1.67	2.10	2.32	2.00	1.46	0.08
171.00	1.88	1.70	0.78	2.00	2.17	0.00
