Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.283s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	1.66	1.11	1.99	1.55
3.00	2.05	1.00	2.00	0.93
4.00	1.25	1.42	2.00	1.99
5.00	1.72	2.46	2.00	2.53
6.00	2.70	2.01	2.00	2.01
7.00	1.98	1.99	2.00	2.00
8.00	2.00	2.00	1.99	1.99
9.00	2.00	2.00	2.00	2.01
10.00	1.99	2.00	2.00	2.00
11.00	1.98	2.00	2.00	1.99
12.00	1.99	1.99	2.00	2.00
13.00	2.01	2.00	2.00	2.00
14.00	1.97	1.99	1.99	1.99
15.00	2.03	2.01	2.00	2.00
16.00	2.00	2.00	2.00	2.00
17.00	1.98	1.99	2.00	2.00
18.00	2.00	2.00	2.00	2.00
19.00	1.99	1.99	2.00	1.99
20.00	2.00	1.99	1.99	2.00
21.00	1.98	1.99	2.00	2.01
22.00	2.01	2.01	2.00	1.99
23.00	1.99	2.00	2.00	2.00
24.00	2.00	2.00	2.00	2.00
25.00	2.00	1.99	2.00	2.00
26.00	1.99	2.00	1.99	2.00
27.00	2.00	2.00	2.00	2.00
28.00	2.01	2.00	2.00	1.99
29.00	1.97	1.99	2.00	2.00
30.00	2.01	2.01	2.00	2.00
31.00	2.00	2.00	2.00	2.00
32.00	1.99	1.99	1.99	2.00
33.00	2.01	2.00	2.00	1.99
34.00	1.99	2.00	2.00	2.00
35.00	1.99	2.00	2.00	1.99
36.00	2.00	1.99	2.00	2.00
37.00	1.99	2.00	2.00	2.00
38.00	1.98	2.00	1.99	2.00
39.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00	2.00
41.00	1.99	2.00	2.00	1.98
42.00	2.00	2.00	2.00	2.00
43.00	2.00	2.00	2.00	2.00
44.00	2.00	1.99	1.99	1.99
45.00	1.98	1.99	2.00	2.00
46.00	2.01	2.01	2.00	2.01
47.00	2.01	2.00	2.00	1.98
48.00	1.99	1.99	2.00	2.00
49.00	2.00	2.00	2.00	2.00
50.00	1.98	1.99	2.00	2.00
51.00	1.99	2.00	1.99	2.00
52.00	2.00	2.00	2.00	2.00
53.00	1.99	2.00	2.00	1.99
