Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.215s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
2.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	1.71
3.00	0.00	1.99	0.00	0.00	2.00	0.00	0.62	0.40
4.00	1.71	1.68	0.14	0.00	2.00	0.64	0.81	0.24
5.00	1.28	1.59	0.88	0.00	2.00	0.72	0.51	0.01
6.00	2.01	2.00	1.27	0.00	2.00	2.50	2.23	0.48
7.00	1.91	2.01	2.24	0.00	2.00	2.00	1.53	0.39
8.00	2.00	1.06	0.91	0.00	1.99	2.00	1.79	0.28
9.00	1.99	1.73	1.66	0.00	2.00	2.00	1.20	0.00
10.00	1.81	1.80	0.87	0.00	2.00	1.88	0.65	0.26
11.00	1.31	1.02	0.33	0.00	2.00	1.07	0.57	0.20
12.00	1.86	1.94	1.63	0.00	2.00	1.97	1.15	1.38
13.00	1.55	1.32	1.66	0.00	2.00	1.79	1.60	0.35
14.00	1.99	2.00	1.99	0.00	1.99	2.00	1.97	0.95
15.00	2.00	1.98	1.98	0.00	2.00	2.00	2.01	1.93
16.00	2.00	2.01	2.00	0.00	2.00	2.00	2.00	2.00
17.00	1.51	1.65	1.67	0.00	2.00	1.75	1.30	0.89
18.00	1.50	1.71	0.92	0.00	2.00	1.85	2.23	0.87
19.00	1.98	0.92	0.89	0.00	2.00	2.00	0.79	0.12
20.00	1.66	2.01	1.64	0.00	1.99	1.99	0.09	1.20
21.00	2.00	2.00	2.01	0.00	2.00	2.01	0.16	0.42
22.00	1.99	1.99	1.99	0.00	2.00	1.99	1.80	0.00
23.00	2.00	1.71	1.77	0.00	2.00	2.01	1.74	1.53
24.00	2.00	1.99	1.98	0.00	2.00	1.99	1.99	1.88
25.00	2.00	2.00	1.98	0.00	2.00	1.97	2.00	2.00
26.00	1.99	2.00	1.97	0.00	1.99	1.99	2.00	2.00
27.00	2.00	2.00	1.97	0.00	2.00	1.99	2.00	2.00
28.00	2.00	2.00	1.97	0.00	2.00	1.99	2.00	2.00
29.00	2.00	2.00	1.99	0.00	2.00	2.00	1.99	1.98
30.00	2.00	1.99	1.97	0.00	2.00	2.00	2.00	2.00
31.00	2.00	2.00	1.99	0.00	2.00	1.99	2.00	2.00
32.00	1.99	2.00	1.93	0.00	1.99	2.00	2.00	2.00
33.00	2.00	2.00	1.95	0.00	2.00	2.00	2.00	2.00
34.00	2.00	2.00	1.99	0.00	2.00	2.00	2.00	2.00
35.00	2.00	2.00	1.98	0.00	2.00	1.99	2.00	1.98
36.00	2.00	1.99	1.94	0.00	2.00	1.98	1.99	2.00
37.00	2.00	2.00	1.98	0.00	2.00	2.00	2.00	2.00
38.00	1.99	2.00	1.93	0.00	1.99	2.00	2.00	2.00
39.00	2.00	2.00	1.98	0.00	2.00	2.00	2.00	2.00
40.00	2.00	2.00	1.97	0.00	2.00	2.00	2.00	2.00
41.00	2.00	2.00	1.93	0.00	2.00	2.00	2.00	1.99
42.00	2.00	2.00	1.97	0.00	2.00	1.99	1.99	2.00
43.00	2.00	1.99	1.98	0.00	2.00	1.99	2.00	2.00
44.00	1.99	2.00	1.97	0.00	1.99	1.98	2.00	2.00
45.00	2.00	2.00	1.97	0.00	2.00	1.99	2.00	2.00
46.00	2.00	2.00	1.99	0.00	2.00	2.00	2.00	2.00
47.00	2.00	2.00	2.00	0.00	2.00	1.99	1.99	2.00
48.00	2.00	1.99	1.97	0.00	2.00	1.99	2.01	1.99
49.00	2.00	2.00	1.98	0.00	2.00	1.99	1.99	2.00
50.00	1.99	2.00	1.97	0.00	2.00	2.00	2.00	2.00
51.00	2.00	2.00	1.99	0.00	1.99	2.00	2.00	2.00
