Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.279s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
5.00	0.00	0.59	0.00	0.54	0.00	0.54	2.00	0.00	0.00	0.16	0.00	0.16
6.00	0.12	1.20	0.28	0.00	0.00	1.06	2.00	0.46	0.00	1.13	0.00	0.82
7.00	0.09	2.07	0.67	0.75	0.00	1.07	2.00	1.48	0.00	2.24	0.00	1.28
8.00	0.24	0.79	0.69	0.97	0.00	0.59	1.99	0.84	0.00	0.13	0.00	1.05
9.00	0.02	0.71	0.86	0.01	0.00	0.66	2.00	0.46	0.00	0.62	0.00	0.14
10.00	0.00	0.93	0.27	0.22	0.00	1.30	2.00	0.13	0.00	1.32	0.00	0.49
11.00	0.01	0.35	0.49	1.06	0.00	1.04	2.00	2.01	0.00	0.35	0.00	0.99
12.00	0.00	0.00	0.35	0.59	0.00	1.30	2.00	1.08	0.00	0.24	0.00	1.47
13.00	0.19	0.00	0.44	1.08	0.00	0.37	2.00	1.20	0.00	0.62	0.00	0.31
14.00	0.45	1.67	1.98	1.47	0.00	0.00	1.99	1.68	0.00	1.59	0.00	0.00
15.00	0.54	0.73	1.48	1.19	0.00	0.00	2.00	1.95	0.00	1.50	0.00	0.00
16.00	1.18	0.39	1.73	1.85	0.00	0.00	2.00	1.77	0.00	1.35	0.00	0.00
17.00	0.00	0.95	1.55	0.05	0.00	0.89	2.00	0.88	0.00	0.59	0.00	0.33
18.00	0.00	1.93	1.67	2.10	0.00	1.54	2.00	1.75	0.00	1.98	0.00	1.13
19.00	1.19	1.53	1.97	1.93	0.00	1.70	2.00	1.84	0.00	1.87	0.00	1.70
20.00	1.61	1.42	1.93	1.44	0.00	1.32	1.99	1.68	0.00	1.28	0.00	0.91
21.00	0.55	1.10	1.08	1.38	0.00	1.40	2.00	1.68	0.00	1.19	0.00	1.48
22.00	0.06	1.42	1.47	1.72	0.00	1.63	2.00	1.83	0.00	1.59	0.00	1.44
23.00	0.58	1.92	1.94	1.58	0.00	1.42	2.00	1.57	0.00	0.48	0.00	0.64
24.00	0.00	1.92	2.05	2.05	0.00	2.05	2.00	2.05	0.00	0.00	0.00	0.66
25.00	0.72	1.41	0.67	0.54	0.00	1.63	2.00	1.22	0.00	0.55	0.00	0.64
26.00	1.46	1.78	1.70	1.74	0.00	0.37	1.99	1.45	0.00	1.39	0.00	0.29
27.00	0.22	0.98	1.35	0.95	0.00	0.85	2.00	0.91	0.00	0.33	0.00	0.98
28.00	1.77	1.85	2.10	0.88	0.00	1.83	2.00	2.04	0.00	1.83	0.00	1.88
29.00	1.24	2.00	1.38	0.20	0.00	2.00	2.00	1.39	0.00	1.06	0.00	1.04
30.00	0.84	1.40	1.32	0.94	0.00	0.94	2.00	0.73	0.00	1.01	0.00	1.01
31.00	0.04	0.72	1.99	1.58	0.00	2.03	2.00	1.97	0.00	1.25	0.00	1.70
32.00	0.44	2.39	1.47	1.27	0.00	0.95	1.99	0.78	0.00	0.53	0.00	0.82
33.00	0.24	0.48	0.31	0.71	0.00	1.04	2.00	0.38	0.00	0.71	0.00	0.89
34.00	1.39	1.38	1.55	1.77	0.00	1.79	2.00	1.93	0.00	0.04	0.00	1.72
35.00	0.32	1.30	1.10	1.70	0.00	1.45	2.00	0.28	0.00	0.47	0.00	1.51
36.00	2.17	2.39	2.19	1.97	0.00	1.99	2.00	0.00	0.00	0.47	0.00	1.97
37.00	1.18	1.31	1.47	1.07	0.00	1.45	2.00	1.74	0.00	0.89	0.00	1.28
38.00	0.00	0.62	0.98	2.17	0.00	0.89	1.99	1.25	0.00	0.02	0.00	1.47
39.00	0.00	1.40	1.87	1.72	0.00	1.87	2.00	1.06	0.00	1.63	0.00	1.01
40.00	0.62	0.46	0.52	0.81	0.00	1.63	2.00	0.49	0.00	0.79	0.00	1.57
41.00	0.44	1.72	1.15	1.65	0.00	1.80	2.00	2.06	0.00	1.80	0.00	1.59
42.00	0.60	1.95	1.70	1.53	0.00	1.88	2.00	1.57	0.00	1.94	0.00	1.48
43.00	0.46	0.38	0.54	1.14	0.00	0.06	2.00	1.10	0.00	0.31	0.00	0.69
44.00	0.29	1.40	1.44	1.47	0.00	0.00	1.99	1.87	0.00	0.65	0.00	1.66
45.00	0.44	0.71	1.87	1.64	0.00	0.00	2.00	1.83	0.02	1.37	0.00	0.72
46.00	0.07	0.00	0.65	1.42	0.00	0.00	2.00	1.45	0.00	1.70	0.00	2.80
47.00	0.31	0.00	2.54	1.86	0.00	0.00	2.00	1.87	0.00	1.67	0.00	1.92
48.00	1.14	0.00	1.58	0.41	0.00	0.04	2.00	1.55	0.00	1.95	0.00	1.75
49.00	0.12	0.55	0.52	0.38	0.00	1.48	2.00	0.80	0.00	0.66	0.00	1.06
50.00	0.71	1.05	1.05	1.13	0.00	1.84	2.00	1.51	0.00	1.41	0.00	1.28
51.00	0.32	1.71	1.44	1.11	0.00	0.88	1.99	1.41	0.00	0.92	0.00	0.48
52.00	0.00	2.00	1.83	1.80	0.00	2.19	2.00	1.70	0.00	2.00	0.00	1.77
53.00	0.61	0.94	1.68	1.72	0.00	1.91	2.00	1.74	0.00	1.73	0.00	1.73
54.00	0.88	0.00	1.73	1.64	0.00	1.84	2.00	1.33	0.00	1.83	0.00	0.64
55.00	0.55	0.00	1.14	0.32	0.00	1.28	2.00	0.81	0.35	0.97	0.00	1.51
56.00	0.69	0.00	1.13	0.01	0.00	1.57	2.00	1.39	0.00	0.81	0.00	0.38
57.00	0.80	0.91	1.99	0.00	0.00	1.87	1.99	1.50	0.00	1.71	0.00	0.80
58.00	0.05	0.64	2.00	0.00	0.00	1.84	2.00	0.00	0.00	1.99	0.15	0.16
59.00	0.37	0.49	0.31	0.00	0.00	1.59	2.00	1.84	0.00	1.45	0.54	0.99
60.00	1.90	1.99	0.01	0.00	0.00	1.77	2.00	0.64	0.00	1.99	0.00	2.00
61.00	1.39	1.98	0.00	0.00	0.00	1.90	2.00	1.37	0.00	1.92	0.00	1.83
