Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.271s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	0.00	0.00	1.99	0.00	0.00
3.00	1.95	1.98	2.00	1.98	1.95
4.00	1.99	1.99	2.00	2.00	2.00
5.00	1.98	1.99	2.00	1.99	1.99
6.00	2.00	1.99	2.00	2.00	1.99
7.00	2.00	2.00	2.00	2.00	2.00
8.00	2.00	2.00	1.99	1.99	1.99
9.00	1.99	2.00	2.00	2.00	2.00
10.00	2.00	2.00	2.00	2.00	2.00
11.00	1.99	2.00	2.00	1.99	2.00
12.00	2.00	1.99	2.00	2.00	2.00
13.00	2.00	2.00	2.00	2.00	1.99
14.00	1.98	2.00	1.99	2.00	2.00
15.00	2.00	2.00	2.00	1.99	2.00
16.00	1.99	1.99	2.00	2.00	2.00
17.00	2.01	2.01	2.00	2.00	1.98
18.00	2.00	1.99	2.00	2.00	1.99
19.00	2.00	1.99	2.00	2.00	2.00
20.00	1.99	2.00	1.99	2.00	1.99
21.00	2.00	2.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00	1.99	2.00
23.00	1.99	2.00	2.00	2.00	1.98
24.00	2.00	2.00	2.00	2.00	2.00
25.00	2.00	2.00	2.00	2.00	2.00
26.00	1.99	1.99	1.99	2.00	1.99
27.00	2.01	2.00	2.00	1.99	2.00
28.00	2.00	2.00	2.00	2.01	2.00
29.00	1.98	1.99	2.00	1.99	1.99
30.00	2.01	2.01	2.00	2.00	2.00
31.00	1.99	2.00	2.00	2.00	2.00
32.00	0.48	1.45	1.99	1.98	1.97
33.00	2.01	2.00	2.00	2.00	2.03
34.00	1.99	2.00	2.00	2.01	2.00
35.00	2.00	1.98	2.00	1.99	2.00
36.00	1.99	2.00	2.00	2.00	2.00
37.00	2.01	1.99	2.00	2.00	1.99
38.00	1.99	2.00	1.99	2.00	2.01
39.00	2.00	2.00	2.00	2.00	1.99
40.00	1.99	2.00	2.00	2.00	2.00
41.00	1.99	1.98	2.00	1.99	1.99
42.00	2.00	2.01	2.00	2.00	2.00
43.00	1.99	1.98	2.00	1.99	1.99
44.00	2.00	2.01	1.99	2.01	2.00
45.00	1.99	2.00	2.00	2.00	1.99
46.00	2.00	2.00	2.00	2.00	2.00
47.00	1.97	1.98	2.00	1.99	1.99
48.00	2.00	2.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00	2.00	2.00
50.00	1.97	1.99	2.00	1.99	1.97
51.00	2.00	2.00	1.99	2.01	2.00
52.00	2.00	2.00	2.00	1.99	2.00
53.00	1.99	2.00	2.00	2.00	1.99
54.00	2.00	2.00	2.00	2.00	2.00
55.00	2.00	2.00	2.00	2.00	1.99
56.00	1.99	2.00	2.00	2.00	2.00
57.00	1.99	1.99	1.99	2.00	2.00
58.00	2.01	1.99	2.00	2.00	1.99
59.00	2.00	2.00	2.00	1.98	1.98
60.00	1.99	2.00	2.00	2.00	2.00
61.00	2.00	1.99	2.00	1.99	2.00
62.00	1.99	2.00	2.00	1.98	1.98
63.00	1.99	1.99	1.99	2.00	1.99
64.00	1.99	2.00	2.00	2.00	2.00
65.00	2.01	2.00	2.00	2.00	1.99
66.00	1.99	2.00	2.00	1.99	2.00
67.00	2.00	1.99	2.00	2.00	2.00
68.00	2.00	1.99	2.00	1.99	1.98
69.00	2.00	2.00	1.99	2.00	2.00
70.00	1.99	2.00	2.00	1.99	2.00
71.00	1.99	2.00	2.00	2.00	2.00
72.00	2.01	2.00	2.00	2.00	2.00
73.00	1.99	1.99	2.00	2.00	1.99
74.00	1.99	2.00	2.00	2.00	1.99
75.00	2.00	2.00	1.99	2.00	2.00
76.00	1.99	2.00	2.00	2.00	1.99
77.00	1.84	1.85	2.00	2.00	2.00
78.00	2.00	2.00	2.00	1.99	2.00
79.00	1.99	1.99	2.00	2.00	1.99
80.00	1.95	1.99	2.00	2.00	1.98
81.00	2.03	2.01	1.99	2.00	2.00
82.00	1.87	1.88	2.00	2.00	2.00
83.00	1.98	2.00	2.00	2.00	2.00
