Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.190s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.46	0.00	1.73	0.00	0.00	1.99	0.00	1.65	0.00	0.00
3.00	2.97	1.39	1.99	0.00	0.00	2.00	0.00	1.95	0.01	0.00
4.00	1.32	1.37	0.73	0.49	0.00	2.00	0.00	1.42	0.00	0.00
5.00	1.72	1.45	1.08	0.39	0.00	2.00	0.00	0.78	0.00	0.04
6.00	2.10	2.20	1.68	0.77	0.00	2.00	0.00	1.97	0.00	0.58
7.00	1.97	1.84	1.08	0.33	0.00	2.00	0.00	0.33	0.00	0.11
8.00	2.01	2.03	1.97	0.08	0.00	1.99	0.00	2.54	0.00	0.00
9.00	2.00	2.00	1.78	0.02	0.00	2.00	0.00	1.90	0.00	0.00
10.00	2.00	1.97	1.94	1.06	0.00	2.00	0.00	1.86	0.00	0.15
11.00	1.99	1.98	1.86	1.71	0.00	2.00	0.00	1.91	0.00	1.39
12.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
13.00	2.00	1.99	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
14.00	1.95	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	1.99
15.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	1.99
16.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.00	0.00	2.00
17.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	1.99	0.00	2.00
18.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
19.00	2.00	1.99	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
20.00	1.98	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
21.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
22.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.00	0.00	1.99
23.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	1.99	0.00	2.00
24.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
25.00	2.00	1.99	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
26.00	1.98	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	1.99
27.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
28.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	2.00	0.00	1.99
29.00	1.98	2.00	2.00	2.00	0.00	2.00	0.00	1.99	0.00	1.99
30.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.00	0.00	2.00
31.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
32.00	1.98	1.99	2.00	2.00	0.00	1.99	0.00	2.00	0.00	1.99
33.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	1.99
34.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	2.00	0.00	2.00
35.00	1.99	2.00	2.00	2.01	0.00	2.00	0.00	2.00	0.00	2.00
36.00	2.00	2.00	1.99	1.99	0.00	2.00	0.00	2.00	0.00	2.00
37.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	1.99	0.00	2.00
38.00	1.98	1.99	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
39.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
40.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	1.99	0.00	1.99
41.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
42.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.01	0.00	2.00
43.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	1.99	0.00	2.00
44.00	1.98	1.99	2.00	2.00	0.00	1.99	0.00	2.00	0.00	1.99
45.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
46.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	1.99
47.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.00	0.00	2.00
48.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	1.99	0.00	2.00
49.00	2.00	1.99	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
50.00	1.98	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	1.99
51.00	2.00	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
52.00	2.00	1.99	1.99	1.99	0.00	2.00	0.00	1.99	0.00	1.99
53.00	1.99	2.01	2.01	2.01	0.00	2.00	0.00	2.00	0.00	1.99
54.00	2.00	2.00	1.99	1.99	0.00	2.00	0.00	1.99	0.00	2.00
55.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
56.00	1.99	1.99	2.00	2.00	0.00	2.00	0.00	2.00	0.00	1.99
57.00	1.99	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
58.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
59.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	2.00	0.00	1.99
60.00	2.00	2.00	1.99	2.01	0.00	2.00	0.00	2.00	0.00	2.00
61.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	2.00	0.00	2.00
62.00	2.00	1.99	2.00	2.00	0.00	2.00	0.00	1.99	0.00	2.00
63.00	1.99	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
64.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.00	0.00	2.00
65.00	1.99	2.00	2.01	2.00	0.00	2.00	0.00	2.00	0.00	1.99
66.00	2.00	2.00	1.99	1.99	0.00	2.00	0.00	2.00	0.00	2.00
67.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	1.99	0.00	2.00
68.00	1.99	1.99	2.00	2.00	0.00	2.00	0.00	2.00	0.00	1.99
69.00	1.99	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
70.00	2.00	2.00	1.99	2.00	0.00	2.00	0.00	2.00	0.00	1.99
71.00	1.99	2.00	2.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00
72.00	2.00	2.00	2.00	1.99	0.00	2.00	0.00	1.99	0.00	2.00
73.00	2.00	2.00	2.00	2.00	0.00	2.00	0.00	2.01	0.00	2.00
74.00	2.00	1.99	2.00	2.00	0.00	2.00	0.00	1.99	0.00	1.99
75.00	1.99	2.00	2.00	2.00	0.00	1.99	0.00	2.00	0.00	2.00
