Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.231s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	0.00	0.00	0.38	0.00	0.00	0.00	0.39	2.00	0.28	0.29	0.00	0.00	0.14	0.00	0.15
6.00	0.00	0.00	0.67	0.00	0.00	0.00	0.46	2.00	0.99	0.54	0.00	0.00	0.29	0.04	0.38
7.00	0.00	0.00	0.65	0.00	0.00	0.00	1.14	2.00	1.39	0.16	0.00	0.44	0.05	0.12	0.53
8.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	1.99	0.26	0.07	0.00	0.09	0.89	0.64	0.08
9.00	0.00	0.00	0.00	0.47	0.80	0.00	0.72	2.00	1.73	0.94	0.02	0.06	1.46	0.64	0.68
10.00	0.00	0.00	1.14	0.45	0.00	0.00	0.00	2.00	0.64	0.48	0.00	0.04	0.92	0.67	0.54
11.00	0.00	0.08	1.20	0.14	0.29	0.00	0.00	2.00	0.94	0.26	0.00	0.00	0.39	0.00	0.00
12.00	0.00	0.21	0.00	0.00	0.00	0.00	1.93	2.00	0.54	0.01	0.33	0.72	1.47	0.01	0.21
