Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.191s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
4.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.00	0.00	2.00	0.80	0.28	0.00	0.00	0.00	0.08	0.00	0.34
5.00	0.00	0.00	0.00	1.63	0.06	0.00	0.00	0.26	0.00	2.00	1.25	0.65	0.00	0.00	0.00	1.35	0.00	0.13
6.00	0.00	0.00	0.00	0.65	0.13	0.00	0.00	0.19	0.00	2.00	0.20	0.02	0.00	0.00	0.00	0.13	0.00	0.02
7.00	0.00	0.00	0.00	1.78	1.21	0.00	0.00	0.65	0.00	2.00	1.32	1.00	0.80	0.00	0.00	1.92	0.00	0.58
8.00	0.00	0.00	0.00	1.30	0.55	0.00	0.00	0.05	0.00	1.99	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.31
9.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.78	0.00	2.00	0.01	0.01	1.14	0.00	0.00	2.37	0.00	0.00
10.00	0.00	0.00	0.00	0.69	0.51	0.00	0.00	0.61	0.00	2.00	0.80	0.02	0.00	0.00	0.00	0.19	0.00	0.00
11.00	0.00	0.00	0.00	1.06	0.04	0.00	0.00	0.31	0.00	2.00	0.19	0.16	0.94	0.00	0.00	1.72	0.00	0.00
