Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.311s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	0.00	0.61	0.00	0.99	0.00	0.00	0.00	1.99	0.00	0.00	0.49	0.00	0.00	0.21
3.00	0.00	2.00	1.40	0.81	0.00	0.00	0.00	2.00	1.57	0.00	0.33	0.00	0.00	0.08
4.00	1.97	1.92	1.68	1.19	0.04	0.00	0.00	2.00	1.52	0.00	0.34	0.00	0.00	0.32
5.00	2.00	2.00	1.05	0.06	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00
6.00	1.90	1.86	1.83	0.54	0.00	0.00	0.00	2.00	1.99	0.58	0.00	0.00	0.00	0.00
7.00	2.00	1.75	1.40	0.42	0.29	0.00	0.00	2.00	1.95	1.50	0.57	0.24	0.00	0.00
8.00	1.67	1.35	0.87	0.64	0.00	0.00	0.00	1.99	1.20	0.75	0.07	0.58	0.00	0.00
9.00	2.00	1.81	1.77	0.92	0.00	0.00	0.00	2.00	1.97	1.71	0.14	0.38	0.00	0.00
10.00	2.00	1.97	1.26	0.00	0.00	0.00	0.00	2.00	2.00	1.02	0.07	0.24	0.00	0.00
11.00	1.93	1.94	1.34	0.00	0.00	0.00	0.00	2.00	1.95	2.10	0.00	0.00	0.00	0.00
12.00	2.01	1.80	1.72	0.80	0.29	0.00	0.00	2.00	1.84	2.37	0.28	0.32	0.00	0.00
13.00	1.94	1.63	1.39	1.11	0.00	0.00	0.00	2.00	1.74	1.68	1.21	1.05	0.00	0.00
14.00	1.95	2.00	0.74	0.21	0.00	0.00	0.00	1.99	1.79	0.66	0.79	0.78	0.00	0.00
15.00	1.83	1.50	0.66	0.13	0.65	0.00	0.00	2.00	1.70	1.50	0.54	0.04	0.00	0.00
16.00	2.01	1.99	1.60	0.01	0.00	0.00	0.00	2.00	2.11	0.00	0.01	0.00	0.00	0.00
17.00	1.90	1.67	1.34	0.00	0.16	0.00	0.00	2.00	1.41	0.61	0.59	0.54	0.00	0.00
18.00	1.97	1.92	1.15	0.48	0.12	0.00	0.00	2.00	1.79	0.59	0.26	0.04	0.00	0.00
