Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.515s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.00	0.91	1.57	0.00	0.00	0.00	0.00	0.00	1.99	0.00	1.73	0.00	0.00	0.00	0.00	0.00
3.00	0.00	1.80	1.32	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00
4.00	0.00	1.84	1.93	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.81	0.00	0.00	0.00	0.00	0.00
5.00	0.00	1.45	0.12	0.00	0.01	0.00	0.00	0.00	2.00	0.99	0.72	0.00	0.00	0.00	0.00	0.01
6.00	0.00	1.99	1.81	0.00	0.00	0.00	0.00	0.00	2.00	1.99	1.71	0.00	0.00	0.00	0.00	0.00
7.00	0.00	1.93	1.61	0.00	0.00	0.00	0.00	0.00	2.00	1.84	0.60	0.00	0.00	0.71	0.00	0.00
8.00	0.00	2.03	2.05	0.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	0.00	0.00	0.66	0.00	0.00
9.00	0.00	1.86	1.74	0.00	0.00	0.00	0.00	0.00	2.00	1.68	1.11	0.00	0.00	0.26	0.00	0.00
10.00	0.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.01	0.00	0.00	0.31	0.00	0.00
11.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00
12.00	0.00	1.99	1.95	0.00	0.01	0.00	0.00	0.00	2.00	1.97	1.19	0.00	0.00	0.00	0.00	0.00
13.00	0.00	1.90	1.87	0.00	0.00	0.00	0.00	0.00	2.00	1.99	1.72	0.00	0.00	0.00	0.00	0.00
14.00	0.00	2.04	1.97	0.00	0.02	0.00	0.00	0.00	1.99	2.00	2.06	0.00	0.00	1.04	0.00	0.00
15.00	0.00	2.00	1.79	0.00	0.00	0.00	0.00	0.00	2.00	1.95	1.81	0.00	0.00	0.12	0.00	0.01
16.00	0.00	1.88	1.85	0.00	0.02	0.00	0.00	0.00	2.00	1.97	1.78	0.00	0.00	0.64	0.00	0.00
17.00	0.00	1.98	1.75	0.00	0.00	0.00	0.00	0.00	2.00	1.93	1.59	0.00	0.00	0.05	0.00	0.00
18.00	0.00	1.99	1.99	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.97	0.00	0.00	0.00	0.00	0.00
19.00	0.00	1.99	1.79	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.84	0.00	0.00	0.09	0.00	0.00
20.00	0.00	1.97	1.75	0.00	0.00	0.00	0.00	0.00	1.99	1.99	1.84	0.00	0.00	0.00	0.00	0.00
21.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
22.00	0.00	1.94	1.94	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00
23.00	0.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00
24.00	0.00	1.75	1.38	0.00	0.00	0.00	0.00	0.00	2.00	1.93	1.64	0.00	0.00	0.00	0.00	0.00
25.00	0.00	1.99	1.81	0.00	0.00	0.00	0.00	0.00	2.00	1.52	1.79	0.00	0.00	0.00	0.00	0.00
26.00	0.00	2.01	2.01	0.00	0.00	0.00	0.00	0.00	1.99	2.01	2.04	0.00	0.00	0.00	0.00	0.00
27.00	0.00	1.92	1.92	0.00	0.00	0.00	0.00	0.00	2.00	1.93	1.66	0.00	0.00	0.00	0.00	0.00
28.00	0.00	2.03	1.70	0.00	0.00	0.00	0.00	0.00	2.00	1.97	1.79	0.00	0.00	0.89	0.00	0.00
29.00	0.00	1.86	1.52	0.00	0.05	0.00	0.00	0.00	2.00	1.78	0.69	0.00	0.00	0.55	0.00	0.00
30.00	0.00	1.87	1.57	0.00	0.00	0.00	0.00	0.00	2.00	1.72	2.53	0.00	0.00	0.00	0.00	0.00
31.00	0.00	1.90	1.80	0.00	0.19	0.00	0.00	0.00	2.00	1.94	1.67	0.00	0.00	0.38	0.00	0.00
32.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	0.00	0.00	0.00	0.00	0.00
